E_NUC,E_miss,E_rep,L_S,abs_E_NUC_error,abs_E_miss_error,abs_E_rep_error,abs_L_S_error,activity_preserved,angle_degrees,evaluation_mode,max_segment_length_error,normal_covariance_error,normal_covariance_pass,path_hash,reference_automorphism_error,sample_count,sample_order_preserved,surface_id,symmetry_id,symmetry_name,topology_hash
0.4033100677141819,0.1799848280214877,0.22332523969269413,10.490484665190715,0.0,0.0,2.7755575615628914e-17,0.0,True,120.0,transported canonical membership under verified mesh/sample automorphism,1.951563910473908e-17,3.7244476670305176e-16,True,c8f1e978684aeca565b0f7bfec5f1632b525a272e5f62e3bbfa18c55004e2986,1.2794688166302258e-16,6340,True,hemisphere,H08,rotation_z,0b9a4e01778c7df1ca58014bef722f08258f879277133b0cee768a7ca743fdd9
0.4033100677141819,0.1799848280214877,0.22332523969269416,10.490484665190715,0.0,0.0,0.0,0.0,True,135.0,transported canonical membership under verified mesh/sample automorphism,2.4936649967166602e-17,3.554447978966673e-16,True,a18333417de6c801ab607e89cc5aba704aa5ba29feddbd3518225e294177ba24,1.3877787807814457e-16,6340,True,hemisphere,H09,rotation_z,0b9a4e01778c7df1ca58014bef722f08258f879277133b0cee768a7ca743fdd9
0.4033100677141819,0.1799848280214877,0.22332523969269413,10.490484665190717,0.0,0.0,2.7755575615628914e-17,1.7763568394002505e-15,True,150.0,transported canonical membership under verified mesh/sample automorphism,1.6479873021779667e-17,3.554447978966673e-16,True,1f972508e389bebec794d29f73b8c51f6d2291ea313c8c25b1c12f7556cb772c,1.734723475976807e-16,6340,True,hemisphere,H10,rotation_z,0b9a4e01778c7df1ca58014bef722f08258f879277133b0cee768a7ca743fdd9
0.4033100677141819,0.17998482802148769,0.22332523969269416,10.490484665190715,0.0,2.7755575615628914e-17,0.0,0.0,True,165.0,transported canonical membership under verified mesh/sample automorphism,2.168404344971009e-17,3.3782153020063144e-16,True,58fd815b6c6098b30416aeb9db9837ccd594378c4daa02658b59ab623ab941f1,1.7388818282700985e-16,6340,True,hemisphere,H11,rotation_z,0b9a4e01778c7df1ca58014bef722f08258f879277133b0cee768a7ca743fdd9
0.4033100677141818,0.17998482802148769,0.22332523969269413,10.490484665190715,5.551115123125783e-17,2.7755575615628914e-17,2.7755575615628914e-17,0.0,True,180.0,transported canonical membership under verified mesh/sample automorphism,9.974659986866641e-18,4.041272810440265e-16,True,2971aae1168094a8735be67a698d1b1a0284cb5fd9e5b7e2643b4fe7c0ef71e7,1.0838898772828417e-16,6340,True,hemisphere,H12,rotation_z,0b9a4e01778c7df1ca58014bef722f08258f879277133b0cee768a7ca743fdd9
0.4033100677141819,0.1799848280214877,0.22332523969269416,10.490484665190715,0.0,0.0,0.0,0.0,True,195.0,transported canonical membership under verified mesh/sample automorphism,2.0383000842727483e-17,3.6821932062951477e-16,True,dd6b07e95c59ef9f1bfcc5602c6c990c8070efb84c1970ff4e0f1af9a26cac6f,1.5959455978986625e-16,6340,True,hemisphere,H13,rotation_z,0b9a4e01778c7df1ca58014bef722f08258f879277133b0cee768a7ca743fdd9
0.4033100677141818,0.17998482802148769,0.22332523969269413,10.490484665190715,5.551115123125783e-17,2.7755575615628914e-17,2.7755575615628914e-17,0.0,True,210.0,transported canonical membership under verified mesh/sample automorphism,1.929879867024198e-17,4.08865160135725e-16,True,1ddc63b1093067fdb092e3c67dcfb8735890de4f0c6862d10faf83d346fac2d3,1.734723475976807e-16,6340,True,hemisphere,H14,rotation_z,0b9a4e01778c7df1ca58014bef722f08258f879277133b0cee768a7ca743fdd9
0.4033100677141819,0.1799848280214877,0.22332523969269416,10.490484665190717,0.0,0.0,0.0,1.7763568394002505e-15,True,225.0,transported canonical membership under verified mesh/sample automorphism,2.1467203015212988e-17,4.490790003631728e-16,True,c2673d0cafdcec00e9043cde991e1f89fe2c29ed08e1e89ade1016b1b2690fda,1.3877787807814457e-16,6340,True,hemisphere,H15,rotation_z,0b9a4e01778c7df1ca58014bef722f08258f879277133b0cee768a7ca743fdd9
0.4033100677141818,0.17998482802148769,0.22332523969269413,10.490484665190715,5.551115123125783e-17,2.7755575615628914e-17,2.7755575615628914e-17,0.0,True,240.0,transported canonical membership under verified mesh/sample automorphism,1.8214596497756474e-17,3.387999773988765e-16,True,5200a90ebff60c29878229da7d1922d8e6c4569ea1f43e4125ba7d3e854eacda,1.4946834900704541e-16,6340,True,hemisphere,H16,rotation_z,0b9a4e01778c7df1ca58014bef722f08258f879277133b0cee768a7ca743fdd9
0.4033100677141819,0.1799848280214877,0.22332523969269416,10.490484665190715,0.0,0.0,0.0,0.0,True,255.0,transported canonical membership under verified mesh/sample automorphism,2.1467203015212988e-17,3.4219371797089426e-16,True,ca1775ef2c7f36366d234ed722eb5fe8f25b2cfb40344a7edbe0a852add98cf4,1.2794688166302258e-16,6340,True,hemisphere,H17,rotation_z,0b9a4e01778c7df1ca58014bef722f08258f879277133b0cee768a7ca743fdd9
0.4033100677141819,0.1799848280214877,0.22332523969269416,10.490484665190715,0.0,0.0,0.0,0.0,True,270.0,transported canonical membership under verified mesh/sample automorphism,1.1926223897340549e-17,4.041272810440265e-16,True,26a9f09a82042153ddcb0c89f9d7c87f93a3c26e62f9fab5aee12f874a84e761,1.6199010924212654e-16,6340,True,hemisphere,H18,rotation_z,0b9a4e01778c7df1ca58014bef722f08258f879277133b0cee768a7ca743fdd9
0.4033100677141819,0.1799848280214877,0.22332523969269416,10.490484665190715,0.0,0.0,0.0,0.0,True,285.0,transported canonical membership under verified mesh/sample automorphism,2.0816681711721685e-17,4.1540741810552243e-16,True,29449596ecda98a0549d548d6bac0bfd6fc91718913458126ed17b038d1b373b,1.6243534171511178e-16,6340,True,hemisphere,H19,rotation_z,0b9a4e01778c7df1ca58014bef722f08258f879277133b0cee768a7ca743fdd9
0.4033100677141819,0.1799848280214877,0.22332523969269413,10.490484665190715,0.0,0.0,2.7755575615628914e-17,0.0,True,300.0,transported canonical membership under verified mesh/sample automorphism,1.929879867024198e-17,4.08865160135725e-16,True,0d5d39807dba7be919bcec1bc42eefc547b1e39b84de93f359abcfc80d04ea4e,1.3877787807814457e-16,6340,True,hemisphere,H20,rotation_z,0b9a4e01778c7df1ca58014bef722f08258f879277133b0cee768a7ca743fdd9
0.4033100677141819,0.1799848280214877,0.22332523969269413,10.490484665190715,0.0,0.0,2.7755575615628914e-17,0.0,True,315.0,transported canonical membership under verified mesh/sample automorphism,2.47198095326695e-17,4.0125770192081414e-16,True,98c4e693cc9cc1d91f86ab288854ac302718aabfa8517e592798fe7f4b32007f,1.6653345369377348e-16,6340,True,hemisphere,H21,rotation_z,0b9a4e01778c7df1ca58014bef722f08258f879277133b0cee768a7ca743fdd9
0.4033100677141819,0.1799848280214877,0.2233252396926942,10.490484665190715,0.0,0.0,2.7755575615628914e-17,0.0,True,330.0,transported canonical membership under verified mesh/sample automorphism,1.8214596497756474e-17,3.387999773988765e-16,True,cea30b3ef2955e4434d6abeae97ca53e417424f244de866f8849a681d5f7feff,1.6243534171511178e-16,6340,True,hemisphere,H22,rotation_z,0b9a4e01778c7df1ca58014bef722f08258f879277133b0cee768a7ca743fdd9
0.4033100677141819,0.1799848280214877,0.22332523969269413,10.490484665190715,0.0,0.0,2.7755575615628914e-17,0.0,True,345.0,transported canonical membership under verified mesh/sample automorphism,2.47198095326695e-17,3.4219371797089426e-16,True,cdbc42467552361ae5c17166c2fea139542c60ec1a4dfb990fcec3eec7f8838b,1.5959455978986625e-16,6340,True,hemisphere,H23,rotation_z,0b9a4e01778c7df1ca58014bef722f08258f879277133b0cee768a7ca743fdd9
