A_window,E_NUC0,E_miss0,E_rep0,L_G0,L_q0,L_surface0,absolute_joint_margin0,anisotropy_level,baseline_reconstruction_error,joint_margin0,min_sigma0,placement_id,q_sample_count0,surface_id,window_id
1.2600495997440384,0.9976325449856752,0.9955910297074412,0.0020415152782340008,0.2814820548830441,0.29116935690982326,0.047221554649235484,1.9045420999580989,P_high,0.0,0.1515585315705954,0.5854500726421165,T33,25,hemisphere,hemisphere_P_high_W00
2.646570074698261,0.9936080951159177,0.992774368391907,0.0008337267240107142,0.24039411758271537,0.265902742375673,0.046695192286768585,2.237841272182615,P_high,0.0,0.17815914251850593,0.6793455756724938,T33,25,hemisphere,hemisphere_P_high_W01
2.6370000560350975,0.993128015974775,0.993128015974775,0.0,0.25942931641678985,0.2728988483721846,0.046895279869245146,1.7761434563940621,P_high,0.0,0.1938119613633635,0.6675831868573664,T33,25,hemisphere,hemisphere_P_high_W02
1.194174524939791,0.9976325449856752,0.9955910297074412,0.002041515278234001,0.49283653455851634,0.5887069300569967,0.047221554649235456,1.6298695385162436,P_high,0.0,0.2012667893489455,0.5743146232703965,T33,25,hemisphere,hemisphere_P_high_W03
1.2521510865084295,0.99733418627566,0.99563947852366,0.0016947077520000245,0.521186059492949,0.6025900820350198,0.04852586982151049,1.592661923495375,P_high,0.0,0.19745104841445493,0.5914497740990833,T33,27,hemisphere,hemisphere_P_high_W04
0.9600234533298246,0.9936795512658346,0.9936795512658346,0.0,0.5584041022616645,0.6074055984932829,0.04746786887098048,1.1393848495149372,P_high,0.0,0.18134407918429685,0.5581539558003847,T33,26,hemisphere,hemisphere_P_high_W05
0.43718279996058707,0.9957755399829825,0.995132645407887,0.000642894575095525,0.5233017702279027,0.593174070629981,0.047178380016081614,1.0612649883959913,P_high,0.0,0.16891055043705097,0.6216180198845163,T33,26,hemisphere,hemisphere_P_high_W06
0.7041336162375511,0.9968980253568458,0.9955764899673795,0.001321535389466336,0.6305659402634868,0.6926804940237851,0.049534456837117914,0.6523018970121672,P_high,0.0,0.1038201332185528,0.4865908150140858,T33,27,hemisphere,hemisphere_P_high_W07
1.0193021172495527,0.9935848752759462,0.9935848752759462,0.0,0.49539561318855957,0.5206880771722411,0.04800248872226006,1.129741661014671,P_high,0.0,0.14819279734617788,0.5191552533998949,T33,27,hemisphere,hemisphere_P_high_W08
1.298018174356135,0.9930728541052197,0.9930728541052197,0.0,0.4718077051090535,0.4930397646360869,0.04783016136060835,1.4462787190325106,P_high,0.0,0.15033183625108487,0.570393704982447,T33,27,hemisphere,hemisphere_P_high_W09
