C_q,Delta,E_NUC,E_miss,E_rep,L_E,L_G,L_G_posthoc,L_q,L_surface,accepted_iterations,admission_reasons,admitted,anisotropy_level,best_feasible_actual_L_q,candidate_evaluations,method,min_joint_limit_margin,min_sigma_min_5,objective,parameters,placement_id,relative_surface_length_change,surface_id,terminal_q_mismatch,window_id
6.2530618831239355,0.002387303343321094,0.9976325449856752,0.9955910297074412,0.0020415152782340008,0.04645312212798432,,0.28337784439758323,0.2904742473305998,0.04645312212798432,5,,True,P_high,0.2826493952722249,60,M1,0.1515585315705954,0.5854640814570857,0.04645312212798432,"[[0.0, 0.0], [-0.001, -0.0015], [0.0, 0.001]]",T33,0.016272918732962716,hemisphere,1.5116034582929316e-05,hemisphere_P_high_W00
6.166026490924463,0.0,0.9976325449856752,0.9955910297074412,0.0020415152782340008,0.047221554649235484,0.2814820548830441,,0.29116935690982326,0.047221554649235484,0,,True,P_high,0.28282650698273093,60,M2,0.1515585315705954,0.5854500726421165,0.2814820548830441,"[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]",T33,0.0,hemisphere,0.0,hemisphere_P_high_W00
5.807947961333564,-0.004276669094237722,0.9936080951159177,0.992774368391907,0.0008337267240107142,0.04597835968811763,,0.24217454603787994,0.2670399204160641,0.04597835968811763,4,,True,P_high,0.25159380857224795,60,M1,0.17815914251850587,0.6793455756724969,0.04597835968811763,"[[-0.00048507125007266603, 0.0019402850002906641], [0.0, -0.002], [0.0, -0.001]]",T33,0.015351314847333338,hemisphere,0.00041712563656082224,hemisphere_P_high_W01
5.603986607090983,0.03142783742654515,0.9936080951159177,0.992774368391907,0.0008337267240107142,0.04595763913695529,0.23193629520741088,,0.25754599421701785,0.04595763913695529,5,,True,P_high,0.2514351087268212,60,M2,0.178159142518506,0.6793455756724912,0.23193629520741088,"[[-0.001, -0.0005], [0.0, 0.0015], [0.0, 0.001]]",T33,0.015795055415636153,hemisphere,0.00039506232173835976,hemisphere_P_high_W01
5.789232428666587,0.009061888557681112,0.993128015974775,0.993128015974775,0.0,0.04671186944950534,,0.2579516364534406,0.27042586942071634,0.04671186944950534,8,,True,P_high,0.27038939121096695,60,M1,0.1938119613633635,0.6675831868573688,0.04671186944950534,"[[-0.001904452678244341, 0.0006107863753620878], [-0.002, 0.0], [-0.0019384361995689109, -0.0004924074534375345]]",T33,0.003911063549491502,hemisphere,0.0006911010775894066,hemisphere_P_high_W02
5.784271498923824,0.009327521049038648,0.993128015974775,0.993128015974775,0.0,0.04673939988294713,0.2578810255002802,,0.27035337861973463,0.04673939988294713,8,,True,P_high,0.27035337861973463,60,M2,0.1938119613633635,0.6675831868573687,0.2578810255002802,"[[-0.0015, 0.0], [-0.001288854381999832, -0.000894427190999916], [-0.0016086092985629467, -0.001188434316475599]]",T33,0.0033240016209017727,hemisphere,0.0008941304277443329,hemisphere_P_high_W02
12.269656495823073,0.034665888689470584,0.9976325449856752,0.9955910297074412,0.002041515278234001,0.04631742391014658,,0.4774388607608254,0.5682988811489209,0.04631742391014658,4,,True,P_high,0.5460330858163283,60,M1,0.2012539738485194,0.5742704169423083,0.04631742391014658,"[[0.0, 0.0], [0.0, -0.0005], [0.0008944271909999159, 0.0017888543819998318]]",T33,0.01914656867620759,hemisphere,0.00015605716775612954,hemisphere_P_high_W03
12.136610570121904,0.04078418920880971,0.9976325449856752,0.9955910297074412,0.002041515278234001,0.04652839373648475,0.4750529636685995,,0.5646969952330146,0.04652839373648475,3,,True,P_high,0.5423848391718026,60,M2,0.20125397386206761,0.5741375994319723,0.4750529636685995,"[[0.0, 0.0], [0.0, -0.002], [0.0008944271909999159, 0.0017888543819998318]]",T33,0.014678909195166222,hemisphere,0.0002671350164238362,hemisphere_P_high_W03
12.417914078644797,0.0,0.99733418627566,0.99563947852366,0.0016947077520000245,0.04852586982151049,0.521186059492949,,0.6025900820350198,0.04852586982151049,0,,True,P_high,0.5516289787591575,60,M1,0.19745104841445493,0.5914497740990833,0.04852586982151049,"[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]",T33,0.0,hemisphere,0.0,hemisphere_P_high_W04
12.417914078644797,0.0,0.99733418627566,0.99563947852366,0.0016947077520000245,0.04852586982151049,0.521186059492949,,0.6025900820350198,0.04852586982151049,0,,True,P_high,0.5516289787591575,60,M2,0.19745104841445493,0.5914497740990833,0.521186059492949,"[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]",T33,0.0,hemisphere,0.0,hemisphere_P_high_W04
