J_q,backend,common_start_count,complete_lift,failure_label,first_failure_index,ik_calls,longest_valid_prefix,max_axis_error_degrees,max_position_error_m,min_joint_margin,min_sigma_min_5,placement_level,q6_cumulative_motion,runtime_s,scene_id,surface_id
28.901125565858365,legacy6,1,True,,,3170,3171,0.0015462319235930967,2.286363091802378e-05,0.07948108108643182,0.6673794167665437,P_low,10.554059875301355,0.9252332895994186,T17,saddle
26.43558014794355,task5,1,True,,,3170,3171,0.0015463283266108168,2.286363091802378e-05,0.07948107698238967,0.6673793684909181,P_low,0.0,1.02289180457592,T17,saddle
22.798386361844205,legacy6,1,True,,,3170,3171,0.0011238077571541273,4.910454037581978e-05,0.07320510926222372,0.3549281923371497,P_mid,6.4253276205951835,0.9006102010607719,T21,saddle
21.584178387487384,task5,1,True,,,3170,3171,0.0011236562930859858,4.9105057907881254e-05,0.07320510318704956,0.3549280813171639,P_mid,0.0,1.0318712145090103,T21,saddle
22.974341662168506,legacy6,1,True,,,3170,3171,0.0011332239592267855,3.340910712022336e-05,0.08724783711033385,0.43710178726783344,P_high,6.099621142590117,0.9123400896787643,T10,saddle
21.830976427153985,task5,1,True,,,3170,3171,0.0011330927316660743,3.340978400590813e-05,0.08724783169245941,0.43710172894096516,P_high,0.0,1.039109081029892,T10,saddle
131.19204676008695,legacy6,1,True,,,6339,6340,0.032658820360739554,4.9910218712111655e-05,0.08156316424204646,0.02696004452948938,P_low,45.8769994984276,1.8384694755077362,T30,hemisphere
119.74573558537554,task5,1,True,,,6339,6340,0.03261791335538647,4.9906876541836205e-05,0.08156316305238752,0.0269615631981681,P_low,5.4088677980956845e-14,2.0654819905757904,T30,hemisphere
121.08423670675326,legacy6,1,True,,,6339,6340,0.02048904971352728,4.9520909894881717e-05,0.08543723708038534,0.11514310134545853,P_mid,41.46252452743593,1.836941234767437,T27,hemisphere
110.99172117543006,task5,1,True,,,6339,6340,0.020477862178344214,4.952191226562164e-05,0.08543722985824811,0.1151430987640218,P_mid,3.487488076103773e-14,2.0576752349734306,T27,hemisphere
130.1943685380303,legacy6,1,True,,,6339,6340,0.02388168625150299,4.9630213357203064e-05,0.08445848197636437,0.07172092404846339,P_high,44.28139640687312,1.8513385206460953,T33,hemisphere
119.31635234513911,task5,1,True,,,6339,6340,0.023864068818804412,4.9629497876051125e-05,0.09433261476402538,0.07172078759078716,P_high,4.717407020571329e-14,2.074687585234642,T33,hemisphere
