scene_id,seed_index,seed_role,ik_found,admitted,position_error_m,axis_error_deg,sigma5,joint_margin,collision_free,status
TR08,5,uniform_2,,,,,,,,NOT_RUN_after_first_admitted_root
TR08,6,uniform_3,,,,,,,,NOT_RUN_after_first_admitted_root
TR08,7,uniform_4,,,,,,,,NOT_RUN_after_first_admitted_root
TR09,0,anchor_root,True,True,6.72968310220749e-06,0.0019293539002367636,0.7195603997458411,0.216100579761505,True,
TR09,1,home,,,,,,,,NOT_RUN_after_first_admitted_root
TR09,2,hemisphere_source,,,,,,,,NOT_RUN_after_first_admitted_root
TR09,3,uniform_0,,,,,,,,NOT_RUN_after_first_admitted_root
TR09,4,uniform_1,,,,,,,,NOT_RUN_after_first_admitted_root
TR09,5,uniform_2,,,,,,,,NOT_RUN_after_first_admitted_root
TR09,6,uniform_3,,,,,,,,NOT_RUN_after_first_admitted_root
TR09,7,uniform_4,,,,,,,,NOT_RUN_after_first_admitted_root
TR10,0,anchor_root,True,True,4.619892899050024e-07,2.831646840510158e-06,0.710078802714566,0.28805405212009527,True,
TR10,1,home,,,,,,,,NOT_RUN_after_first_admitted_root
TR10,2,hemisphere_source,,,,,,,,NOT_RUN_after_first_admitted_root
TR10,3,uniform_0,,,,,,,,NOT_RUN_after_first_admitted_root
TR10,4,uniform_1,,,,,,,,NOT_RUN_after_first_admitted_root
TR10,5,uniform_2,,,,,,,,NOT_RUN_after_first_admitted_root
TR10,6,uniform_3,,,,,,,,NOT_RUN_after_first_admitted_root
TR10,7,uniform_4,,,,,,,,NOT_RUN_after_first_admitted_root
TR11,0,anchor_root,True,True,5.235306126205455e-06,9.161273689305592e-05,0.6958159525569635,0.26307106808109076,True,
TR11,1,home,,,,,,,,NOT_RUN_after_first_admitted_root
TR11,2,hemisphere_source,,,,,,,,NOT_RUN_after_first_admitted_root
TR11,3,uniform_0,,,,,,,,NOT_RUN_after_first_admitted_root
TR11,4,uniform_1,,,,,,,,NOT_RUN_after_first_admitted_root
TR11,5,uniform_2,,,,,,,,NOT_RUN_after_first_admitted_root
TR11,6,uniform_3,,,,,,,,NOT_RUN_after_first_admitted_root
TR11,7,uniform_4,,,,,,,,NOT_RUN_after_first_admitted_root
TR12,0,anchor_root,True,True,1.2611029956617642e-08,2.4148365394514667e-06,0.7138383711181574,0.21093379554297392,True,
TR12,1,home,,,,,,,,NOT_RUN_after_first_admitted_root
TR12,2,hemisphere_source,,,,,,,,NOT_RUN_after_first_admitted_root
TR12,3,uniform_0,,,,,,,,NOT_RUN_after_first_admitted_root
TR12,4,uniform_1,,,,,,,,NOT_RUN_after_first_admitted_root
TR12,5,uniform_2,,,,,,,,NOT_RUN_after_first_admitted_root
TR12,6,uniform_3,,,,,,,,NOT_RUN_after_first_admitted_root
TR12,7,uniform_4,,,,,,,,NOT_RUN_after_first_admitted_root
TR13,0,anchor_root,True,True,2.7601917799521726e-08,3.91248236030638e-06,0.713465748844518,0.23459965692095283,True,
TR13,1,home,,,,,,,,NOT_RUN_after_first_admitted_root
TR13,2,hemisphere_source,,,,,,,,NOT_RUN_after_first_admitted_root
TR13,3,uniform_0,,,,,,,,NOT_RUN_after_first_admitted_root
TR13,4,uniform_1,,,,,,,,NOT_RUN_after_first_admitted_root
TR13,5,uniform_2,,,,,,,,NOT_RUN_after_first_admitted_root
TR13,6,uniform_3,,,,,,,,NOT_RUN_after_first_admitted_root
TR13,7,uniform_4,,,,,,,,NOT_RUN_after_first_admitted_root
TR14,0,anchor_root,True,True,5.564882937051438e-06,5.6851324810208916e-05,0.7036985732303823,0.23921580330546136,True,
TR14,1,home,,,,,,,,NOT_RUN_after_first_admitted_root
TR14,2,hemisphere_source,,,,,,,,NOT_RUN_after_first_admitted_root
TR14,3,uniform_0,,,,,,,,NOT_RUN_after_first_admitted_root
TR14,4,uniform_1,,,,,,,,NOT_RUN_after_first_admitted_root
TR14,5,uniform_2,,,,,,,,NOT_RUN_after_first_admitted_root
TR14,6,uniform_3,,,,,,,,NOT_RUN_after_first_admitted_root
TR14,7,uniform_4,,,,,,,,NOT_RUN_after_first_admitted_root
TR15,0,anchor_root,True,True,2.447229865296104e-06,0.0002505400183276369,0.7149393271572704,0.24286207713775823,True,
TR15,1,home,,,,,,,,NOT_RUN_after_first_admitted_root
TR15,2,hemisphere_source,,,,,,,,NOT_RUN_after_first_admitted_root
TR15,3,uniform_0,,,,,,,,NOT_RUN_after_first_admitted_root
TR15,4,uniform_1,,,,,,,,NOT_RUN_after_first_admitted_root
TR15,5,uniform_2,,,,,,,,NOT_RUN_after_first_admitted_root
TR15,6,uniform_3,,,,,,,,NOT_RUN_after_first_admitted_root
TR15,7,uniform_4,,,,,,,,NOT_RUN_after_first_admitted_root
TR16,0,anchor_root,True,True,3.083888236641795e-08,4.00455336570039e-06,0.6910903996789882,0.2816556057283332,True,
TR16,1,home,,,,,,,,NOT_RUN_after_first_admitted_root
TR16,2,hemisphere_source,,,,,,,,NOT_RUN_after_first_admitted_root
TR16,3,uniform_0,,,,,,,,NOT_RUN_after_first_admitted_root
TR16,4,uniform_1,,,,,,,,NOT_RUN_after_first_admitted_root
TR16,5,uniform_2,,,,,,,,NOT_RUN_after_first_admitted_root
TR16,6,uniform_3,,,,,,,,NOT_RUN_after_first_admitted_root
TR16,7,uniform_4,,,,,,,,NOT_RUN_after_first_admitted_root
TR17,0,anchor_root,True,True,6.634795625936975e-07,1.4812419152493543e-05,0.71285541414545,0.2161030944609722,True,
TR17,1,home,,,,,,,,NOT_RUN_after_first_admitted_root
TR17,2,hemisphere_source,,,,,,,,NOT_RUN_after_first_admitted_root
TR17,3,uniform_0,,,,,,,,NOT_RUN_after_first_admitted_root
TR17,4,uniform_1,,,,,,,,NOT_RUN_after_first_admitted_root
TR17,5,uniform_2,,,,,,,,NOT_RUN_after_first_admitted_root
TR17,6,uniform_3,,,,,,,,NOT_RUN_after_first_admitted_root
TR17,7,uniform_4,,,,,,,,NOT_RUN_after_first_admitted_root
TR18,0,anchor_root,True,True,4.3805231747041443e-07,5.533085616490783e-06,0.711320296856809,0.22807482142918467,True,
TR18,1,home,,,,,,,,NOT_RUN_after_first_admitted_root
TR18,2,hemisphere_source,,,,,,,,NOT_RUN_after_first_admitted_root
TR18,3,uniform_0,,,,,,,,NOT_RUN_after_first_admitted_root
TR18,4,uniform_1,,,,,,,,NOT_RUN_after_first_admitted_root
TR18,5,uniform_2,,,,,,,,NOT_RUN_after_first_admitted_root
TR18,6,uniform_3,,,,,,,,NOT_RUN_after_first_admitted_root
TR18,7,uniform_4,,,,,,,,NOT_RUN_after_first_admitted_root
TR19,0,anchor_root,True,True,1.3831998488186711e-06,8.072564143419815e-05,0.7245845624123507,0.26892496425610496,True,
TR19,1,home,,,,,,,,NOT_RUN_after_first_admitted_root
TR19,2,hemisphere_source,,,,,,,,NOT_RUN_after_first_admitted_root
TR19,3,uniform_0,,,,,,,,NOT_RUN_after_first_admitted_root
TR19,4,uniform_1,,,,,,,,NOT_RUN_after_first_admitted_root
TR19,5,uniform_2,,,,,,,,NOT_RUN_after_first_admitted_root
TR19,6,uniform_3,,,,,,,,NOT_RUN_after_first_admitted_root
TR19,7,uniform_4,,,,,,,,NOT_RUN_after_first_admitted_root
VA00,0,anchor_root,True,True,1.968878998432615e-06,0.00018159707252968896,0.7138512325905744,0.23868131242139354,True,
VA00,1,home,,,,,,,,NOT_RUN_after_first_admitted_root
VA00,2,hemisphere_source,,,,,,,,NOT_RUN_after_first_admitted_root
VA00,3,uniform_0,,,,,,,,NOT_RUN_after_first_admitted_root
VA00,4,uniform_1,,,,,,,,NOT_RUN_after_first_admitted_root
VA00,5,uniform_2,,,,,,,,NOT_RUN_after_first_admitted_root
VA00,6,uniform_3,,,,,,,,NOT_RUN_after_first_admitted_root
VA00,7,uniform_4,,,,,,,,NOT_RUN_after_first_admitted_root
VA01,0,anchor_root,True,True,3.86375814242431e-06,0.0014510422525561015,0.7230187929959604,0.24565619711613765,True,
VA01,1,home,,,,,,,,NOT_RUN_after_first_admitted_root
VA01,2,hemisphere_source,,,,,,,,NOT_RUN_after_first_admitted_root
VA01,3,uniform_0,,,,,,,,NOT_RUN_after_first_admitted_root
VA01,4,uniform_1,,,,,,,,NOT_RUN_after_first_admitted_root
VA01,5,uniform_2,,,,,,,,NOT_RUN_after_first_admitted_root
VA01,6,uniform_3,,,,,,,,NOT_RUN_after_first_admitted_root
VA01,7,uniform_4,,,,,,,,NOT_RUN_after_first_admitted_root
VA02,0,anchor_root,True,True,1.958703438230023e-06,7.10788994142672e-05,0.7113717494689924,0.23172757420395293,True,
VA02,1,home,,,,,,,,NOT_RUN_after_first_admitted_root
VA02,2,hemisphere_source,,,,,,,,NOT_RUN_after_first_admitted_root
VA02,3,uniform_0,,,,,,,,NOT_RUN_after_first_admitted_root
VA02,4,uniform_1,,,,,,,,NOT_RUN_after_first_admitted_root
VA02,5,uniform_2,,,,,,,,NOT_RUN_after_first_admitted_root
VA02,6,uniform_3,,,,,,,,NOT_RUN_after_first_admitted_root
VA02,7,uniform_4,,,,,,,,NOT_RUN_after_first_admitted_root
VA03,0,anchor_root,True,True,5.065153391047547e-06,0.0004807041331323913,0.7122298577338366,0.2254700072780473,True,
VA03,1,home,,,,,,,,NOT_RUN_after_first_admitted_root
VA03,2,hemisphere_source,,,,,,,,NOT_RUN_after_first_admitted_root
VA03,3,uniform_0,,,,,,,,NOT_RUN_after_first_admitted_root
VA03,4,uniform_1,,,,,,,,NOT_RUN_after_first_admitted_root
VA03,5,uniform_2,,,,,,,,NOT_RUN_after_first_admitted_root
VA03,6,uniform_3,,,,,,,,NOT_RUN_after_first_admitted_root
VA03,7,uniform_4,,,,,,,,NOT_RUN_after_first_admitted_root
