model,update,train_loss,validation_loss,elapsed_s
categorical,1,2.47482967376709,2.306091785430908,7.727031268179417
categorical,100,0.11991140991449356,0.47144126892089844,8.318372160196304
categorical,200,0.060365673154592514,0.6958363652229309,8.93313816189766
categorical,300,0.04764493927359581,0.8139386177062988,9.46998117864132
categorical,400,0.06995857506990433,0.810579776763916,10.021519914269447
categorical,500,0.04796891286969185,0.8799155950546265,10.604677714407444
categorical,600,0.05114395171403885,0.8538623452186584,11.156452238559723
categorical,700,0.0380510613322258,0.9140124917030334,11.701097406446934
categorical,800,0.04819638654589653,0.9543660879135132,12.237370230257511
categorical,900,0.04023236781358719,0.9002435207366943,12.762842625379562
categorical,1000,0.035514578223228455,0.9127296805381775,13.287423856556416
categorical,1100,0.05232447758316994,0.9643487930297852,13.806254670023918
categorical,1200,0.038419563323259354,0.9885038137435913,14.317254781723022
categorical,1300,0.03820206969976425,1.0347024202346802,14.845834955573082
categorical,1400,0.051722221076488495,0.9780176281929016,15.377725034952164
categorical,1500,0.03829323872923851,0.9555949568748474,15.897450007498264
categorical,1600,0.032799817621707916,1.0227681398391724,16.411464251577854
categorical,1700,0.03203560784459114,1.0651670694351196,16.932308964431286
categorical,1800,0.03138943389058113,1.0956807136535645,17.450104996562004
categorical,1900,0.036822862923145294,1.0960649251937866,17.96630571037531
categorical,2000,0.03200991451740265,1.1195937395095825,18.50199170410633
categorical,2100,0.04392772540450096,1.1303311586380005,19.016380473971367
categorical,2200,0.03788311406970024,1.0990287065505981,19.53482934832573
categorical,2300,0.033127233386039734,1.119450330734253,20.066853016614914
categorical,2400,0.04556652531027794,1.109238862991333,20.59279625862837
categorical,2500,0.04135745391249657,1.1016771793365479,21.09650067985058
categorical,2600,0.04258274286985397,1.1346435546875,21.62085633724928
categorical,2700,0.0383283905684948,1.1317951679229736,22.127591848373413
categorical,2800,0.03612859919667244,1.1173557043075562,22.653362222015858
categorical,2900,0.04703396186232567,1.1087135076522827,23.187284141778946
categorical,3000,0.046145565807819366,1.1463371515274048,23.71923239529133
categorical,3100,0.04253474995493889,1.1383519172668457,24.23276523500681
categorical,3200,0.03734233230352402,1.153754711151123,24.742840617895126
categorical,3300,0.03518868237733841,1.1540477275848389,25.276050843298435
categorical,3400,0.03479497879743576,1.1726223230361938,25.79138634353876
categorical,3500,0.03237173706293106,1.1701653003692627,26.32146966457367
categorical,3600,0.034200701862573624,1.178091049194336,26.85042555630207
categorical,3700,0.035999272018671036,1.1896634101867676,27.379755161702633
categorical,3800,0.040893640369176865,1.1804182529449463,27.90558833628893
categorical,3900,0.03543031960725784,1.2051538228988647,28.441657058894634
categorical,4000,0.0373355969786644,1.2231069803237915,28.997188948094845
categorical,4100,0.03884100541472435,1.226043939590454,29.53649079799652
categorical,4200,0.03654906153678894,1.2249469757080078,30.075980976223946
categorical,4300,0.03812023624777794,1.2305177450180054,30.587693087756634
categorical,4400,0.03303662687540054,1.2516835927963257,31.121790416538715
categorical,4500,0.03873420134186745,1.258066177368164,31.629820361733437
categorical,4600,0.03864780813455582,1.2618739604949951,32.14033926278353
categorical,4700,0.04334856942296028,1.2812345027923584,32.671297289431095
categorical,4800,0.030415108427405357,1.2822024822235107,33.21098034083843
categorical,4900,0.03000596910715103,1.2710603475570679,33.734331235289574
categorical,5000,0.03204963356256485,1.2586594820022583,34.249292477965355
