scene_id,kind,method,witness_hash,duration_s,status,cache_hit
TR00,teacher_graph_validation,P,55c78aa377f5d781bbb3348fa6d22e60711a37e87644d931346f08dc809a26f6,69.37067294865847,accepted_under_E09_R1_refined_sampled_checks,False
TR00,teacher_graph_validation,P,1f9996060945165332694d365bd6cb65e418e612a12a28059bdd9aad6fd20c9d,69.64255234599113,accepted_under_E09_R1_refined_sampled_checks,False
TR04,teacher_graph_validation,F,7d7e78eb63c340f548c5bc8939878c10c4e52e186aa0d4067647edd26a7fa81c,61.326338425278664,accepted_under_E09_R1_refined_sampled_checks,False
TR04,teacher_graph_validation,P,7d7e78eb63c340f548c5bc8939878c10c4e52e186aa0d4067647edd26a7fa81c,60.9274186193943,accepted_under_E09_R1_refined_sampled_checks,False
TR04,teacher_graph_validation,P,757acbc5eecd86293926f3506b8484c27809950b68f3b810a0526dc6a85a417b,65.32874527573586,accepted_under_E09_R1_refined_sampled_checks,False
TR08,teacher_graph_validation,P,07171e7dbc5b6a4d293112145229bddede220fe675585430a0abc6d6f7bf5614,67.56880266964436,coverage_contract_failed_under_refined_checks,False
TR08,teacher_graph_validation,P,43710bb8c09a5c3a784cdd3c1405c109f04594aab016ec92448904b3cde43946,68.01029905676842,coverage_contract_failed_under_refined_checks,False
TR08,teacher_graph_validation,A,07171e7dbc5b6a4d293112145229bddede220fe675585430a0abc6d6f7bf5614,68.51181247830391,coverage_contract_failed_under_refined_checks,False
TR08,teacher_graph_validation,A,cde9daf946bea6065b332735309ee0aab765e71ca39519a5d166ffaa5cd636af,69.03859957307577,coverage_contract_failed_under_refined_checks,False
TR16,teacher_graph_validation,P,344f4c8c2a5374b88eb42df8cd3b5d88b848cfba3a1427db0a12214e9fb888fc,70.32986418902874,accepted_under_E09_R1_refined_sampled_checks,False
TR16,teacher_graph_validation,P,1364e0a6bd41ea58807297e05389ff8366e161fb5658c6ec70402f14b985079d,70.00588716566563,accepted_under_E09_R1_refined_sampled_checks,False
TR01,teacher_graph_validation,P,9494d23e2fc08733f3e7ab2c55b9ffaa83905cd564cce06130dfd1757f4c714e,67.76698423922062,accepted_under_E09_R1_refined_sampled_checks,False
TR01,teacher_graph_validation,P,0259ae8cbbbc0d992c123041d8cd70473e4e3079ed25819b850f3c6625e288b5,67.13644815981388,accepted_under_E09_R1_refined_sampled_checks,False
TR13,teacher_graph_validation,P,66e8299c4b4919c86ed0e9af3cf93a3292e5b7bbdba6d01c2b274a2d54e4a583,67.73216269910336,coverage_contract_failed_under_refined_checks,False
TR13,teacher_graph_validation,P,6de04af045d58f341e8857bb3c7434b94e6e8569f87353e97ad7c459aa859ce5,67.91126627475023,coverage_contract_failed_under_refined_checks,False
