model,update,train_loss,validation_loss,elapsed_s
fm,1,3.434574842453003,2.417581796646118,0.5141240209341049
fm,100,0.44735702872276306,1.258409857749939,1.0737453550100327
fm,200,0.6553224921226501,1.0107369422912598,1.633578598499298
fm,300,0.9452260732650757,0.8705009818077087,2.1939278542995453
fm,400,0.5506111979484558,0.9612274169921875,2.7729694172739983
fm,500,0.4014376699924469,1.2357083559036255,3.334404803812504
fm,600,0.18499575555324554,2.2072370052337646,3.8736812472343445
fm,700,0.5496402978897095,2.5263731479644775,4.395982749760151
fm,800,0.2021970897912979,2.0389404296875,4.919061489403248
fm,900,1.2786610126495361,2.192599058151245,5.4391482546925545
fm,1000,0.4790029227733612,2.443002223968506,5.9576955661177635
fm,1100,0.11776015162467957,2.0451607704162598,6.479175113141537
fm,1200,0.838482677936554,2.4633729457855225,6.995747365057468
fm,1300,0.3022134304046631,2.4520881175994873,7.519015781581402
fm,1400,0.15687665343284607,2.4662861824035645,8.038669437170029
fm,1500,0.08441706746816635,3.0684540271759033,8.559059388935566
fm,1600,0.3489149808883667,2.9324193000793457,9.072200566530228
fm,1700,0.10692600160837173,2.5790348052978516,9.592367313802242
fm,1800,0.05956731736660004,3.143059730529785,10.108081571757793
fm,1900,0.06073618680238724,2.81099534034729,10.676994651556015
fm,2000,0.15117019414901733,2.6789660453796387,11.237360090017319
fm,2100,0.7725709080696106,2.909574508666992,11.799738824367523
fm,2200,0.10818908363580704,3.174220323562622,12.366686955094337
fm,2300,0.4118384122848511,2.832974672317505,12.935785070061684
fm,2400,1.2048897743225098,2.882221221923828,13.500942140817642
fm,2500,0.44430115818977356,2.5282883644104004,14.053691893815994
fm,2600,0.0427677184343338,2.8186352252960205,14.630133166909218
fm,2700,0.5529793500900269,2.7844014167785645,15.18115096539259
fm,2800,0.057915762066841125,2.863032341003418,15.728891126811504
fm,2900,0.9243581295013428,3.2669601440429688,16.282581821084023
fm,3000,0.7989211678504944,3.3524441719055176,16.829197138547897
fm,3100,0.04842440038919449,3.2541117668151855,17.381334975361824
fm,3200,0.07802645862102509,3.0929503440856934,17.94125635921955
fm,3300,0.07481617480516434,3.4026262760162354,18.517183005809784
fm,3400,0.15232081711292267,2.8393845558166504,19.07430938631296
fm,3500,0.12030448019504547,2.9542171955108643,19.6265586912632
fm,3600,0.09057578444480896,3.496567964553833,20.189110852777958
fm,3700,0.09589935094118118,3.087993621826172,20.75995795428753
fm,3800,0.20780591666698456,3.247260808944702,21.32166001200676
fm,3900,0.3356100916862488,3.3287088871002197,21.879198528826237
fm,4000,0.05993844196200371,2.8393287658691406,22.450065590441227
fm,4100,0.20657727122306824,2.720734119415283,23.00666742771864
fm,4200,0.17943541705608368,3.0496203899383545,23.559046879410744
fm,4300,0.06781871616840363,3.0550880432128906,24.10978454351425
fm,4400,0.5826615691184998,3.219726324081421,24.66410192847252
fm,4500,0.21505694091320038,3.2355918884277344,25.21978211402893
fm,4600,0.823244571685791,2.7315211296081543,25.78395877033472
fm,4700,0.0409628264605999,2.9878287315368652,26.3391597494483
fm,4800,0.03953194245696068,2.9274842739105225,26.901135943830013
fm,4900,0.0191034022718668,3.3815462589263916,27.465449042618275
fm,5000,0.04921106994152069,3.0732085704803467,28.030060559511185
