scene_id,method,slot,witness_hash,J_q,E_miss_T0_Q3,E_rep_T0_Q3,E_miss_T0_Q4,E_rep_T0_Q4,E_miss_T1_Q4,E_rep_T1_Q4,E_miss_T1_Q4a,E_rep_T1_Q4a,max_resolution_change,min_sigma5,max_position_error_m,max_axis_error_deg,min_joint_margin,collision_free,ik_calls,lift_seconds,validation_replay_seconds
TE01,RETRIEVE,0,38b480a22f57a533ea5fdba04ae5e852e91a3c5371256f4e04b5cc2391162c0b,84.20791521657486,0.013035575725895945,0.019942112467659548,0.013094170983258577,0.019824737651440143,0.013094170983258577,0.01983761739589669,0.013110133064319143,0.01975896860282618,0.00011737481621940452,0.11963153771168944,8.057450647888044e-06,0.0006082686360463284,0.0860748961159927,True,46132,16.183719374239445,
TE01,REG,0,6ef67c230f34fc1ec5d5efa72578a478ef18f2e0ecacac5e2d0ae677992bedfd,83.89251300513838,0.015505655632559344,0.019912758442953316,0.015596181290620858,0.019740127439067154,0.015596181290620858,0.019740127439067154,0.015604161396113057,0.019672517793889274,0.0001726310038861617,0.11963008594875552,8.05741363578455e-06,0.0006082344816102052,0.08607493212093802,True,45977,16.124440416693687,
TE01,FM,0,08f33fd4942f7ee398bb8de5c80634547f5562186eb1cb29d672e71a8f2e3827,83.53824131292689,0.01820964632108913,0.019602459204273993,0.018316189209802713,0.019499012314461647,0.018316189209802713,0.019509001766060956,0.018318845815065307,0.019412371389696544,0.00010654288871358303,0.11963018251924949,8.05754898813435e-06,0.0006082464658412871,0.08607491357759026,True,45814,14.984032914042473,
TE01,P_LAZY,0,db17ec05e0f4dd46e8d3f92867d705d45da0d93d21385e5a247d45a6e839bd11,83.54731791849744,0.018294820905634668,0.01977199138552258,0.01833746601552691,0.01965992710780061,0.01833746601552691,0.01967280685225715,0.01833215204837049,0.01957149283509278,0.00011206427772196895,0.11963136059275489,8.057506759979841e-06,0.000608266838492239,0.08607489625983124,True,45820,15.113625071942806,
TE02,RETRIEVE,0,e5d4c520153761c682e3d0e814dcc4b3ad5086d30e53dcfd0a1a4945f93b2f13,90.14786534004038,0.017322100221656506,0.047547776223443125,0.017296090590774933,0.04776927915382606,0.017296090590774933,0.04776927915382606,0.017875466495304863,0.04637938757338586,0.0013898915804402001,0.15152613700123488,2.1003941013456185e-05,0.0019965140291850537,0.08950885731739983,True,15849,5.179324269294739,
TE02,P_LAZY,0,da2c6718876b113ac79f74bb2fed7da406fceb2104c9b9acc6791dc59e47b26e,93.50324855505787,0.017506589774158067,0.03582553977619806,0.017655590612208054,0.03582019049419436,0.017655590612208054,0.03582812068480047,0.017652934052190438,0.03548868174561849,0.00033943893918197965,0.07483133429935433,2.2118432409139115e-05,0.001000178608861909,0.08919118214976868,True,45081,14.922138623893261,
TE03,RETRIEVE,1,39efd8626d872e36fa2e764773852c844c460a407fc5200f01078da16bb22cf1,91.4725023581947,0.01567809173652108,0.047041943280751085,0.01543528757285368,0.046651800534104275,0.01543528757285368,0.0466613573584309,0.015432649354970284,0.04628312517721627,0.0003901427466468099,0.09463835767395049,1.3184261192854366e-05,0.0008161080225920452,0.0811659974860328,True,45124,14.769770793616772,
TE03,P_LAZY,0,39efd8626d872e36fa2e764773852c844c460a407fc5200f01078da16bb22cf1,91.4725023581947,0.01567809173652108,0.047041943280751085,0.01543528757285368,0.046651800534104275,0.01543528757285368,0.0466613573584309,0.015432649354970284,0.04628312517721627,0.0003901427466468099,0.09463835767395049,1.3184261192854366e-05,0.0008161080225920452,0.0811659974860328,True,45124,15.042822204530239,
TE04,RETRIEVE,0,9632aff58bc9e7c3358c8bd37d426fa4a754b79d2871c3eba8ea899fcca959c0,90.48735967481994,0.019127762395881223,0.044627937698414125,0.019054053458548402,0.04475850456060038,0.019054053458548402,0.04475850456060038,0.019675710307664067,0.0434055958573905,0.001352908703209886,0.08042818077950578,1.4871392164595225e-05,0.0008628488390319834,0.07047124617551592,True,45046,15.446882173418999,
TE05,RETRIEVE,0,bd98ffcbcfdf60da1a8d20c7882a44c152bc8a9ec0acef9f4f94bc79c3f3f4ea,88.18199227327213,0.019127762395881223,0.04458026192082679,0.019048771296573952,0.044751356264351234,0.019048771296573952,0.044751356264351234,0.019675710307664067,0.04340641662904569,0.0013449396353055476,0.1373991322718724,2.0923014852299376e-05,0.0021650159388930494,0.07563952813968222,True,15772,5.232181116938591,
