scene_id,switch_index,selected_edge_id,prefix_edges_json,prefix_file,node,covered_fraction,R,J_q,used_on,min_prefix_sigma5,prior_family,fixed_route,available_source_children,classification,diagnostic_termination,diagnostic_expanded,best_covered_fraction,best_fixed_J_q,physical_infeasibility_claim,repeat_pruned,legacy_fixed_route,corrected_prior_family,corrected_direction,corrected_fixed_route,corrected_progress_index,corrected_available_source_children,corrected_classification,corrected_diagnostic_termination,corrected_diagnostic_expanded,corrected_best_covered_fraction,corrected_best_fixed_J_q,correction_status,legacy_forward_field_missing,prefix_sigma_measured,prefix_sigma_status,historical_main_cells_rerun,corrected_repeat_pruned
T30,0,2410,"[2449, 853, 859, 864, 869, 874, 879, 884, 889, 894, 900, 906, 912, 918, 924, 930, 936, 942, 948, 954, 960, 966, 972, 978, 984, 990, 996, 1001, 1006, 1011, 1016, 1022, 1028, 1033, 1039, 1045, 1050, 1055, 1060, 1066, 1072, 1077, 1083, 1088, 1092, 1098, 1104, 1109, 1114, 1120, 1126, 1132, 1138, 1144, 1150, 1156, 1162, 1168, 1174, 1179, 1184, 1190, 1196, 1201, 1206, 1212, 1218, 1223, 1228, 1233, 1239, 1245]",results/e11_mechanism_placement_transfer_v1/mechanism_prefixes/T30_switch0.npz,842,0.9270702475613101,0.020067750664026895,84.06076887371601,1,inf,spiral_phase_0.00,spiral_phase_0.00/reverse,0,missing_sampled_transition,no_exact_next_source_edge,0,0.9270702475613101,,False,,spiral_phase_0.00/reverse,spiral_phase_0.00,forward,spiral_phase_0.00/forward,70,0,missing_sampled_transition,no_exact_next_source_edge,0,0.9270702475613101,,recomputed_from_geom_arc_membership_and_executed_prefix,True,0.10874540500092215,MEASURED_FROM_ARCHIVED_Q,False,
T30,1,890,"[2449, 853, 859, 864, 869, 874, 879, 884, 889, 894, 900, 906, 912, 918, 924, 930, 936, 942, 948, 954, 960, 966, 972, 978, 984, 990, 996, 1001, 1006, 1011, 1016, 1022, 1028, 1033, 1039, 1045, 1050, 1055, 1060, 1066, 1072, 1077, 1083, 1088, 1092, 1098, 1104, 1109, 1114, 1120, 1126, 1132, 1138, 1144, 1150, 1156, 1162, 1168, 1174, 1179, 1184, 1190, 1196, 1201, 1206, 1212, 1218, 1223, 1228, 1233, 1239, 1245, 2410, 346]",results/e11_mechanism_placement_transfer_v1/mechanism_prefixes/T30_switch1.npz,239,0.9285099177761947,0.03424544638975958,87.45511004612122,1,inf,raster_u_phase_0.00,raster_u_phase_0.00/reverse,0,missing_sampled_transition,no_exact_next_source_edge,0,0.9285099177761947,,False,,raster_u_phase_0.00/reverse,raster_u_phase_0.00,forward,raster_u_phase_0.00/forward,64,1,remaining_footprint_cannot_meet_coverage,suffix_exhausted,6,0.9308095772512295,,recomputed_from_geom_arc_membership_and_executed_prefix,True,0.10336421170241562,MEASURED_FROM_ARCHIVED_Q,False,1
T30,2,2434,"[2449, 853, 859, 864, 869, 874, 879, 884, 889, 894, 900, 906, 912, 918, 924, 930, 936, 942, 948, 954, 960, 966, 972, 978, 984, 990, 996, 1001, 1006, 1011, 1016, 1022, 1028, 1033, 1039, 1045, 1050, 1055, 1060, 1066, 1072, 1077, 1083, 1088, 1092, 1098, 1104, 1109, 1114, 1120, 1126, 1132, 1138, 1144, 1150, 1156, 1162, 1168, 1174, 1179, 1184, 1190, 1196, 1201, 1206, 1212, 1218, 1223, 1228, 1233, 1239, 1245, 2410, 346, 890, 1253, 1258, 1263, 1269, 1274]",results/e11_mechanism_placement_transfer_v1/mechanism_prefixes/T30_switch2.npz,862,0.9773576545978154,0.03645072686924784,95.96303863427458,1,inf,spiral_phase_0.00,spiral_phase_0.00/reverse,1,remaining_footprint_cannot_meet_coverage,suffix_exhausted,6,0.9773576545978154,,False,0,spiral_phase_0.00/reverse,spiral_phase_0.00,forward,spiral_phase_0.00/forward,76,0,missing_sampled_transition,no_exact_next_source_edge,0,0.9773576545978154,,recomputed_from_geom_arc_membership_and_executed_prefix,True,0.08297342993592231,MEASURED_FROM_ARCHIVED_Q,False,
T33,0,2289,"[2326, 810, 816, 821, 826, 831, 837, 843, 848, 853, 858, 863, 867, 871, 876, 882, 888, 894, 899, 905, 910, 914, 919, 924, 929, 934, 939, 945, 951, 956, 961, 966, 972, 977, 982, 988, 992, 997, 1002, 1008, 1014, 1020, 1026, 1032, 1038, 1044, 1050, 1056, 1062, 1067, 1073, 1078, 1082, 1087, 1092, 1098, 1104, 1110, 1116, 1122, 1128, 1134, 1140, 1146, 1152, 1158, 1164, 1170, 1176, 1182, 1187, 1192, 1198]",results/e11_mechanism_placement_transfer_v1/mechanism_prefixes/T33_switch0.npz,702,0.9400729597799062,0.020406067898468674,85.9915876775125,1,inf,spiral_phase_0.00,spiral_phase_0.00/reverse,0,missing_sampled_transition,no_exact_next_source_edge,0,0.9400729597799062,,False,,spiral_phase_0.00/reverse,spiral_phase_0.00,forward,spiral_phase_0.00/forward,71,0,missing_sampled_transition,no_exact_next_source_edge,0,0.9400729597799062,,recomputed_from_geom_arc_membership_and_executed_prefix,True,0.1371245623262858,MEASURED_FROM_ARCHIVED_Q,False,
T33,1,846,"[2326, 810, 816, 821, 826, 831, 837, 843, 848, 853, 858, 863, 867, 871, 876, 882, 888, 894, 899, 905, 910, 914, 919, 924, 929, 934, 939, 945, 951, 956, 961, 966, 972, 977, 982, 988, 992, 997, 1002, 1008, 1014, 1020, 1026, 1032, 1038, 1044, 1050, 1056, 1062, 1067, 1073, 1078, 1082, 1087, 1092, 1098, 1104, 1110, 1116, 1122, 1128, 1134, 1140, 1146, 1152, 1158, 1164, 1170, 1176, 1182, 1187, 1192, 1198, 2289]",results/e11_mechanism_placement_transfer_v1/mechanism_prefixes/T33_switch1.npz,187,0.9404971771057911,0.022591158034038425,86.96804849119495,1,inf,spiral_phase_0.00,spiral_phase_0.00/reverse,0,missing_sampled_transition,no_exact_next_source_edge,0,0.9404971771057911,,False,,spiral_phase_0.00/reverse,spiral_phase_0.00,forward,spiral_phase_0.00/forward,71,0,missing_sampled_transition,no_exact_next_source_edge,0,0.9404971771057911,,recomputed_from_geom_arc_membership_and_executed_prefix,True,0.12998724977953272,MEASURED_FROM_ARCHIVED_Q,False,
T33,2,1611,"[2326, 810, 816, 821, 826, 831, 837, 843, 848, 853, 858, 863, 867, 871, 876, 882, 888, 894, 899, 905, 910, 914, 919, 924, 929, 934, 939, 945, 951, 956, 961, 966, 972, 977, 982, 988, 992, 997, 1002, 1008, 1014, 1020, 1026, 1032, 1038, 1044, 1050, 1056, 1062, 1067, 1073, 1078, 1082, 1087, 1092, 1098, 1104, 1110, 1116, 1122, 1128, 1134, 1140, 1146, 1152, 1158, 1164, 1170, 1176, 1182, 1187, 1192, 1198, 2289, 846]",results/e11_mechanism_placement_transfer_v1/mechanism_prefixes/T33_switch2.npz,425,0.9404971771057911,0.024605047969039593,87.76181030476678,1,inf,spiral_phase_0.00,spiral_phase_0.00/reverse,0,missing_sampled_transition,no_exact_next_source_edge,0,0.9404971771057911,,False,,spiral_phase_0.00/reverse,spiral_phase_0.00,forward,spiral_phase_0.00/forward,71,0,missing_sampled_transition,no_exact_next_source_edge,0,0.9404971771057911,,recomputed_from_geom_arc_membership_and_executed_prefix,True,0.12998724977953272,MEASURED_FROM_ARCHIVED_Q,False,
