model,update,train_loss,validation_loss,elapsed_s
reg,1,1.3172439336776733,0.8944551944732666,7.727383673191071
reg,100,0.8639214634895325,0.5618884563446045,8.275762654840946
reg,200,1.2314436435699463,0.9718753695487976,8.831638492643833
reg,300,0.5850908160209656,0.9706785082817078,9.350937955081463
reg,400,0.9159219861030579,0.7181893587112427,9.87551699578762
reg,500,0.47257259488105774,0.6940886378288269,10.39953487366438
reg,600,0.6086065173149109,0.6308245062828064,10.987691216170788
reg,700,0.9910212159156799,0.6099361181259155,11.529185757040977
reg,800,0.6465884447097778,0.6311498880386353,12.053546391427517
reg,900,0.9762483835220337,0.6231501698493958,12.575243405997753
reg,1000,1.0419137477874756,0.5612563490867615,13.112221486866474
reg,1100,1.0536997318267822,0.5502275228500366,13.64038085192442
reg,1200,0.3560437858104706,0.5713663101196289,14.201384015381336
reg,1300,0.49253690242767334,0.5954628586769104,14.748017884790897
reg,1400,0.44967561960220337,0.6689462661743164,15.289750419557095
reg,1500,0.5321910977363586,0.5978360176086426,15.836540199816227
reg,1600,0.5028192400932312,0.5648868680000305,16.383781909942627
reg,1700,0.3797050416469574,0.5759648084640503,16.91067734360695
reg,1800,0.43118512630462646,0.5471271276473999,17.430654607713223
reg,1900,0.5103103518486023,0.565770149230957,17.954801626503468
reg,2000,0.9272907972335815,0.5481818318367004,18.49634625017643
reg,2100,0.2799259424209595,0.5501613616943359,19.03156118094921
reg,2200,0.757122814655304,0.5452640056610107,19.54598243534565
reg,2300,0.5020639896392822,0.5175599455833435,20.085775695741177
reg,2400,1.2388113737106323,0.49282339215278625,20.615958899259567
reg,2500,1.1169967651367188,0.49221929907798767,21.136093601584435
reg,2600,0.33996957540512085,0.5040662288665771,21.66267941892147
reg,2700,0.8155520558357239,0.5104934573173523,22.208192236721516
reg,2800,1.344092845916748,0.49390602111816406,22.72168393433094
reg,2900,0.6627674102783203,0.4647713899612427,23.25645660609007
reg,3000,1.092212200164795,0.4712487757205963,23.798131428658962
reg,3100,0.4959469735622406,0.45856189727783203,24.35352896153927
reg,3200,1.1771658658981323,0.6153856515884399,24.936291098594666
reg,3300,1.0152925252914429,0.6846744418144226,25.452435441315174
reg,3400,0.35529062151908875,0.7166107892990112,25.97234221547842
reg,3500,0.8537519574165344,0.6890155076980591,26.490057326853275
reg,3600,0.7296045422554016,0.6459795236587524,27.00773496925831
reg,3700,1.3808226585388184,0.6533915400505066,27.530392475426197
reg,3800,1.0287889242172241,0.6322486996650696,28.062089167535305
reg,3900,0.4958554208278656,0.6385892033576965,28.603186398744583
reg,4000,0.938130259513855,0.5830605030059814,29.130768097937107
reg,4100,0.5323807597160339,0.6181459426879883,29.657858058810234
reg,4200,1.2278661727905273,0.5935802459716797,30.17310318350792
reg,4300,0.8706185817718506,0.5843876004219055,30.694931969046593
reg,4400,0.24237318336963654,0.5319149494171143,31.229295268654823
reg,4500,1.197277545928955,0.54358971118927,31.759743459522724
reg,4600,0.5687988996505737,0.5125489830970764,32.28684378415346
reg,4700,0.23961003124713898,0.5072331428527832,32.82144420593977
reg,4800,0.7302859425544739,0.5121267437934875,33.375334188342094
reg,4900,0.752555251121521,0.5025522708892822,33.92254962772131
reg,5000,1.3753113746643066,0.5078639984130859,34.48313829302788
