phase,scene_id,k,method,initializer_seconds,method_seconds,core_seconds,termination,expanded,graph_goal,validated_fallback,plan_files_json,screen_calls,generated_actions,atomic_equivalent_work,peak_open,peak_ancestry,peak_pareto_records,heuristic_evictions,dominance_pruned,repeat_pruned,segment_pruned,reachability_pruned,objective_pruned,fallback_retained,first_Q2_s,first_Q3_pass_s,screen_seconds,process_peak_bytes
TRANSFER,H02,2,F,0.04958505928516388,0.0,0.04958505928516388,queue_exhausted,550,True,True,"[""results/e11_mechanism_placement_transfer_v1/selected_plan_witnesses/6ed3f14a67015f615eddc272668a7ebdb404d257a279c1d742e049942eff7c4d.npz""]",0,,,,,,,,,,,,,,,,
TRANSFER,H02,2,P,0.04958505928516388,62.84187079966068,62.89145585894585,greedy_exhausted,892,True,True,"[""results/e11_mechanism_placement_transfer_v1/selected_plan_witnesses/9c8bdacbcf50126599325742cceb88e97d3653597deac7d272898e72542dde36.npz"", ""results/e11_mechanism_placement_transfer_v1/selected_plan_witnesses/5f2feb537cc87dd85762c8085ff2f4e14e1fe33118512e101bc59d68dc612905.npz""]",4,8159,8159,14,14,892,0,517,178,1340,945,9,True,3.228725992143154,18.048680640757084,58.9290147125721,2616459264
TRANSFER,H02,2,A,0.04958505928516388,188.33239628374577,188.38198134303093,retained_record_budget,39911,True,True,"[""results/e11_mechanism_placement_transfer_v1/selected_plan_witnesses/70ed32953911fa8f273284c3612649292869ead35778d0750bf855641abd7f6f.npz"", ""results/e11_mechanism_placement_transfer_v1/selected_plan_witnesses/93ed9c01ebceeb6b90931f7ed2974ddb86745e7465a71f17f8fa1751d81e082e.npz""]",4,376829,376829,213,30003,29777,23362,64625,161514,61352,915,23301,True,0.3481375426054001,15.43794471770525,59.29831347614527,2783105024
TRANSFER,H03,1,F,0.019038580358028412,0.0,0.019038580358028412,queue_exhausted,196,True,True,"[""results/e11_mechanism_placement_transfer_v1/selected_plan_witnesses/225be71a0099a06a93ce9a189d4a437a16baaaaca57a9a9c28a979d774d1c220.npz""]",0,,,,,,,,,,,,,,,,
TRANSFER,H03,1,A,0.019038580358028412,64.40392383933067,64.4229624196887,retained_record_budget,36396,False,True,[],0,455847,455847,76,30000,29996,40,29668,0,188724,0,200810,True,,,0.0,2919383040
TRANSFER,H03,1,P,0.019038580358028412,1.4697780087590218,1.4888165891170502,greedy_exhausted,1190,False,True,[],0,11894,11894,23,23,1190,0,242,161,3937,0,315,True,,,0.0,2776506368
TRANSFER,H03,2,F,0.05258938670158386,0.0,0.05258938670158386,queue_exhausted,196,True,True,"[""results/e11_mechanism_placement_transfer_v1/selected_plan_witnesses/225be71a0099a06a93ce9a189d4a437a16baaaaca57a9a9c28a979d774d1c220.npz""]",0,,,,,,,,,,,,,,,,
TRANSFER,H03,2,P,0.05258938670158386,3.1148198395967484,3.167409226298332,greedy_exhausted,1190,False,True,[],0,11894,11894,23,23,1190,0,242,221,0,0,4192,True,,,0.0,2778574848
TRANSFER,H03,2,A,0.05258938670158386,69.63467863947153,69.68726802617311,retained_record_budget,36396,False,True,[],0,455847,455847,76,30000,29996,40,29668,0,0,0,389534,True,,,0.0,2919198720
TRANSFER,H04,1,F,0.009355530142784119,0.0,0.009355530142784119,queue_exhausted,90,False,False,[],0,,,,,,,,,,,,,,,,
