scene_id,port_id,seed_id,outcome,selected,q0,q1,q2,q3,q4,q5,position_error_m,axis_error_deg,sigma5,joint_margin,collision_free
H00,0,3,ik_not_found,False,,,,,,,,,,,
H00,0,5,ik_not_found,False,,,,,,,,,,,
H00,0,7,ik_not_found,False,,,,,,,,,,,
H00,0,published_root,selected,True,-1.6798282556085509,-1.573628099664546,1.6987012278710443,-1.5270011077369137,-1.4480734031011724,2.7668592935497802e-17,3.884601535619991e-05,0.008429144944009011,0.7301012950517782,0.22963532900349448,True
H00,0,0,q6_only_or_effective_near_duplicate,False,-1.6798282556085509,-1.573628099664546,1.6987012278710443,-1.5270011077369137,-1.4480734031011724,2.7668592935497802e-17,3.884601535619991e-05,0.008429144944009011,0.7301012950517782,0.22963532900349448,True
H00,0,1,q6_only_or_effective_near_duplicate,False,-1.6797813720182064,-1.573543176790889,1.6987263752030035,-1.5271096170353302,-1.448193166635855,7.805219010414678e-17,3.687300397963933e-05,0.002151255813213268,0.730101259521605,0.2296313265632654,True
H00,0,2,q6_only_or_effective_near_duplicate,False,-1.6797799285054311,-1.573533179843159,1.6986360335224926,-1.5270732423193731,-1.448207993809137,5.4294953925798625e-17,2.0741297645162888e-06,0.0005876704545959989,0.7300907550071953,0.22964570531235198,True
H00,0,4,selected,True,-1.6797753827299005,-6.247204800084006,-1.185760397041789,-3.3937735782183407,-4.834976027266689,-2.521384952780721e-16,1.2205894192074678e-08,8.537736462515939e-07,0.9696678399024717,0.002863609083601971,True
H00,0,6,selected,True,1.9995168956336848,-2.047250172278671,-1.1622383305091029,1.5564840647880127,-1.7624068311678138,-1.0928197670599812e-15,7.273499633637789e-09,1.7075472925031877e-06,0.9759384758655386,0.3150185690738337,True
H00,1,3,ik_not_found,False,,,,,,,,,,,
H00,1,5,ik_not_found,False,,,,,,,,,,,
H00,1,7,ik_not_found,False,,,,,,,,,,,
H00,1,0,selected,True,-1.752511189542607,-1.650593104756365,1.8027320381356655,-1.6368633696202657,-1.3122887523260682,1.18457087526094e-16,5.465960867236328e-06,0.002839594802210894,0.7164511400587935,0.21307782299289107,True
H00,1,1,q6_only_or_effective_near_duplicate,False,-1.7525076182746961,-1.6505884517878093,1.802724508231058,-1.6368077994039116,-1.3122981911716611,4.180077855410673e-17,7.273147969329687e-06,0.0017614066269732412,0.716458477651179,0.21307902144977595,True
H00,1,2,q6_only_or_effective_near_duplicate,False,-1.7524997631346437,-1.6505735898826996,1.8027148095376646,-1.6368359803254704,-1.3123211748968742,1.1310226760114557e-16,4.122159048653572e-07,0.00021226193400307813,0.7164575247375014,0.2130805650902969,True
H00,1,4,selected,True,-1.7524968308943254,-6.228316185823128,-1.291699320930897,-3.389457649197445,-4.970867960738345,-4.0650791063046997e-16,8.875864249946543e-06,0.0003539815963723238,0.9377459696451967,0.004366716124840433,True
H00,1,6,selected,True,1.9640236953978139,-1.9621907682679214,-1.2561534965058432,1.7192848166144117,-1.8335317779704408,-7.240086749899814e-17,3.4569839975268528e-06,0.00010522565361605338,0.9371680560945599,0.30007106533410105,True
H00,2,3,ik_not_found,False,,,,,,,,,,,
H00,2,5,ik_not_found,False,,,,,,,,,,,
H00,2,7,ik_not_found,False,,,,,,,,,,,
H00,2,0,selected,True,-1.658316677969412,-1.499473544888243,1.606575967392749,-1.3966716585743328,-1.488485433298961,1.2702706980166475e-17,7.196713926463678e-07,0.00010635566291894782,0.7321638844566374,0.24429795203043944,True
