scene_id,transform_sha256,hash_matches_frozen,exact_historical_duplicate
H00,c426464135f1849dcb0ea2fe1639e018e6e4e2677d15de7b539cd8ba6469daf8,True,False
H01,4dad5e2afe7b60adac2ffbc969820afefe37a31498077834dd72c31dfa2efd2d,True,False
H02,2aec152f968d4a16e88bf1c296b235b08f7cdbc7bc3c63009ce7ac9091b6e745,True,False
H03,79a4d0901983f5d4ee2fcb05eb2c9ecad232be4c5676feec9c759e86bbbf4870,True,False
H04,508810c8abf5d9b7015560906575bc4d88ee3a1499aa4643efeb0cd6a5d72a88,True,False
H05,2e98237258067a35dc35b78673153d9b3362e6d492a4ba68b3a570db76c3aa8a,True,False
