phase,scene_id,k,method,event_id,edge_ids,edge_identity,start_monotonic_s,end_monotonic_s,duration_s,E_miss_Q2,E_rep_Q2,status,E_miss_Q3,E_rep_Q3,error,reservoir_retained,final_nominated
TRANSFER,H01,1,A,2,"[2384, 849, 854, 860, 864, 868, 873, 879, 883, 887, 892, 896, 902, 908, 914, 920, 926, 932, 937, 943, 947, 951, 956, 960, 966, 972, 978, 984, 990, 996, 1002, 1008, 1013, 1019, 1025, 1030, 1036, 1042, 1047, 1053, 1059, 1064, 1070, 1076, 1081, 1087, 1092, 1096, 1100, 1105, 1109, 1113, 1118, 1122, 1127, 1132, 1137, 1142, 1148, 1154, 1159, 1164, 1169, 1175, 1180, 1184, 1190, 1196, 1202, 2320, 433, 427, 421, 415, 409, 403, 397, 391, 959, 1719]",1ebd08e7f1b38c34236e41ce14b95908829f4e60fb7fd7a59e7664bd0031738f,93.99846541881561,108.44953671842813,14.451071299612522,0.019143685541570525,0.030497284457305575,Q3_PASS,0.019058738181036573,0.028724682224401728,,False,False
TRANSFER,H01,1,A,3,"[2384, 849, 854, 860, 864, 868, 873, 879, 883, 887, 892, 896, 902, 908, 914, 920, 926, 932, 937, 943, 947, 951, 956, 960, 966, 972, 978, 984, 990, 996, 1002, 1008, 1013, 1019, 1025, 1030, 1036, 1042, 1047, 1053, 1059, 1064, 1070, 1076, 1081, 1087, 1092, 1096, 1100, 1105, 1109, 1113, 1118, 1122, 1127, 1132, 1137, 1142, 1148, 1154, 1159, 1164, 1169, 1175, 1180, 1184, 1190, 1196, 1202, 2320, 433, 427, 421, 415, 409, 403, 397, 391, 959, 1721]",914fe99ffaa5fddf86be56f2bd17a8322c161b73d4a0c03f4724292c969a8589,108.45239132642746,122.8642962500453,14.41190492361784,0.019143685541570525,0.031017444457771902,Q3_PASS,0.019058738181036573,0.029224259868803504,,False,False
TRANSFER,H01,2,A,0,"[2384, 849, 854, 860, 864, 868, 873, 879, 883, 887, 892, 896, 902, 908, 914, 920, 926, 932, 937, 943, 947, 951, 956, 960, 966, 972, 978, 984, 990, 996, 1002, 1008, 1013, 1019, 1025, 1030, 1036, 1042, 1047, 1053, 1059, 1064, 1070, 1076, 1081, 1087, 1092, 1096, 1100, 1105, 1109, 1113, 1118, 1122, 1127, 1132, 1137, 1142, 1148, 1154, 1159, 1164, 1169, 1175, 1180, 1184, 1190, 1196, 1202, 2320, 433, 427, 421, 415, 409, 403, 397, 391, 959]",8e6eb204d5a7d615e20a158c72348e5c8df0bca0f90c612130405029273e5f49,69.50599099695683,84.00381326675415,14.497822269797325,0.019143685541570525,0.02906164074791918,Q3_PASS,0.019058738181036573,0.027119602963427587,,True,True
TRANSFER,H01,2,A,1,"[2384, 849, 854, 860, 864, 868, 873, 879, 883, 887, 892, 896, 902, 908, 914, 920, 926, 932, 937, 943, 947, 951, 956, 960, 966, 972, 978, 984, 990, 996, 1002, 1008, 1013, 1019, 1025, 1030, 1036, 1042, 1047, 1053, 1059, 1064, 1070, 1076, 1081, 1087, 1092, 1096, 1100, 1105, 1109, 1113, 1118, 1122, 1127, 1132, 1137, 1142, 1148, 1154, 1159, 1164, 1169, 1175, 1180, 1184, 1190, 1196, 1202, 2320, 433, 427, 421, 415, 409, 403, 397, 391, 959, 1722]",eb8e335454e38b02529923ab3a0c7bdc7a274b2970daa17026d93a585bce12d0,84.0103981345892,98.37850008904934,14.368101954460144,0.016844208511210514,0.02957134862294984,Q3_PASS,0.016801864130067106,0.02773538298396355,,True,False
TRANSFER,H01,2,A,2,"[2384, 849, 854, 860, 864, 868, 873, 879, 883, 887, 892, 896, 902, 908, 914, 920, 926, 932, 937, 943, 947, 951, 956, 960, 966, 972, 978, 984, 990, 996, 1002, 1008, 1013, 1019, 1025, 1030, 1036, 1042, 1047, 1053, 1059, 1064, 1070, 1076, 1081, 1087, 1092, 1096, 1100, 1105, 1109, 1113, 1118, 1122, 1127, 1132, 1137, 1142, 1148, 1154, 1159, 1164, 1169, 1175, 1180, 1184, 1190, 1196, 1202, 2320, 433, 427, 421, 415, 409, 403, 397, 391, 959, 1719]",1ebd08e7f1b38c34236e41ce14b95908829f4e60fb7fd7a59e7664bd0031738f,98.38132376223803,112.65436308830976,14.27303932607174,0.019143685541570525,0.030497284457305575,Q3_PASS,0.019058738181036573,0.028724682224401728,,False,False
TRANSFER,H01,2,A,3,"[2384, 849, 854, 860, 864, 868, 873, 879, 883, 887, 892, 896, 902, 908, 914, 920, 926, 932, 937, 943, 947, 951, 956, 960, 966, 972, 978, 984, 990, 996, 1002, 1008, 1013, 1019, 1025, 1030, 1036, 1042, 1047, 1053, 1059, 1064, 1070, 1076, 1081, 1087, 1092, 1096, 1100, 1105, 1109, 1113, 1118, 1122, 1127, 1132, 1137, 1142, 1148, 1154, 1159, 1164, 1169, 1175, 1180, 1184, 1190, 1196, 1202, 2320, 433, 427, 421, 415, 409, 403, 397, 391, 959, 1721]",914fe99ffaa5fddf86be56f2bd17a8322c161b73d4a0c03f4724292c969a8589,112.65709995478392,127.03636836260557,14.379268407821655,0.019143685541570525,0.031017444457771902,Q3_PASS,0.019058738181036573,0.029224259868803504,,False,False
TRANSFER,H02,1,A,0,"[2146, 751, 756, 761, 766, 771, 776, 782, 788, 793, 799, 804, 808, 813, 818, 823, 829, 834, 838, 843, 848, 853, 858, 864, 869, 873, 875, 880, 886, 891, 897, 902, 907, 913, 917, 921, 927, 933, 938, 943, 948, 953, 958, 963, 967, 972, 978, 983, 988, 994, 999, 1003, 1008, 1013, 1019, 1024, 1028, 1033, 1037, 1041, 1046, 1051, 1057, 1062, 1067, 1073, 1079, 1084, 1088, 1093, 1097, 1101, 1106, 1112, 1117, 2123, 811, 1520, 1467, 2077, 726, 722]",a724c44e5f778d15e90d682b0469c5b2e71bc8001e25c98d878050053cf5895c,0.13798798620700836,14.948082745075226,14.810094758868217,0.018399055735155184,0.04280126265569316,Q3_PASS,0.018632774304110648,0.041507955115913216,,True,True
TRANSFER,H02,1,A,1,"[2146, 751, 756, 761, 766, 771, 776, 782, 788, 793, 799, 804, 808, 813, 818, 823, 829, 834, 838, 843, 848, 853, 858, 864, 869, 873, 875, 880, 886, 891, 897, 902, 907, 913, 917, 921, 927, 933, 938, 943, 948, 953, 958, 963, 967, 972, 978, 983, 988, 994, 999, 1003, 1008, 1013, 1019, 1024, 1028, 1033, 1037, 1041, 1046, 1051, 1057, 1062, 1067, 1073, 1079, 1084, 1088, 1093, 1097, 1101, 1106, 1112, 1117, 2123, 811, 1520, 1467, 2077, 726, 722, 1566]",e55b56a66eeec59a723e8ae5f556cd48584531913557bd8acfefe176a7aa49f5,14.960348658263683,29.673012480139732,14.712663821876049,0.01788786568944851,0.04288634314997818,Q3_PASS,0.018142952038840934,0.04155047398651764,,True,True
TRANSFER,H02,1,A,2,"[2146, 751, 756, 761, 766, 771, 776, 782, 788, 793, 799, 804, 808, 813, 818, 823, 829, 834, 838, 843, 848, 853, 858, 864, 869, 873, 875, 880, 886, 891, 897, 902, 907, 913, 917, 921, 927, 933, 938, 943, 948, 953, 958, 963, 967, 972, 978, 983, 988, 994, 999, 1003, 1008, 1013, 1019, 1024, 1028, 1033, 1037, 1041, 1046, 1051, 1057, 1062, 1067, 1073, 1079, 1084, 1088, 1093, 1097, 1101, 1106, 1112, 1117, 2123, 811, 1520, 1467, 2077, 726, 722, 1563]",0443fc551002afbeb01a8c37cfc30efe952f9e0dd9efeff83f7676afcc99d7d1,29.681916043162346,44.25280749797821,14.570891454815865,0.017973128665053375,0.04339575492175027,Q3_PASS,0.018164306989633745,0.04197486649213238,,True,False
TRANSFER,H02,1,A,3,"[2146, 751, 756, 761, 766, 771, 776, 782, 788, 793, 799, 804, 808, 813, 818, 823, 829, 834, 838, 843, 848, 853, 858, 864, 869, 873, 875, 880, 886, 891, 897, 902, 907, 913, 917, 921, 927, 933, 938, 943, 948, 953, 958, 963, 967, 972, 978, 983, 988, 994, 999, 1003, 1008, 1013, 1019, 1024, 1028, 1033, 1037, 1041, 1046, 1051, 1057, 1062, 1067, 1073, 1079, 1084, 1088, 1093, 1097, 1101, 1106, 1112, 1117, 2123, 811, 1520, 1467, 2077, 726, 722, 1563, 922]",ce42843068edfee08c3c5c216926f1c1be045021b356be952687ffab847c41bc,44.261483892798424,58.990323930978775,14.728840038180351,0.017802716775356622,0.04356616681144702,Q3_PASS,0.018100393262471183,0.04203878021929495,,True,False
