C_q,E_NUC,E_miss,E_rep,IK_enumeration_time_shared,J_q,L_S,anisotropy_level,canonical_layout,collision_pass,continuation_time,evaluated_transitions,failure_reason,geometry_baseline,layout_id,lift_found,max_axis_error,max_position_error,min_sigma_min_5,minimum_absolute_joint_margin_rad,overall_pass,placement_id,q_sample_count,remesh_id,root_id,search_budget,strict_coverage_pass,strict_kinematics_pass,surface_id,total_execution_evaluation_time,witness_file
,0.5837753363973166,0.3344242454590675,0.24935109093824914,22.367973817512393,,9.294206834155696,P_high,True,False,4.149314822629094,395,continuous_lift_not_found_under_budget,False,R00_M00,False,,,,,False,T33,0,M00,R00,default,False,False,hemisphere,5.111539842560887,
,0.5829480013250676,0.33442424545906746,0.24852375586600017,35.46528089977801,,9.290828297140584,P_high,False,False,2.265304856002331,204,continuous_lift_not_found_under_budget,False,R00_M01,False,,,,,False,T33,0,M01,R00,default,False,False,hemisphere,2.6392325460910797,
,0.6744920680496813,0.30780856350865604,0.36668350454102533,22.735125962644815,,9.750073901666413,P_high,False,False,0.597479797899723,63,continuous_lift_not_found_under_budget,False,R00_M02,False,,,,,False,T33,0,M02,R00,default,False,False,hemisphere,0.6943987589329481,
,0.5513468848805243,0.3688076303570618,0.1825392545234625,44.03437021654099,,8.389963098013762,P_high,False,False,3.861855032853782,372,continuous_lift_not_found_under_budget,True,R00_M03,False,,,,,False,T33,0,M03,R00,default,False,False,hemisphere,4.5476712845265865,
,0.5842299956148419,0.3358376155571858,0.24839238005765615,22.367973817512393,,9.2855576205698,P_high,False,False,2.993356200866401,327,continuous_lift_not_found_under_budget,False,R01_M00,False,,,,,False,T33,0,M00,R01,default,False,False,hemisphere,3.303575319238007,
,0.5834663670610934,0.33583761555718583,0.2476287515039076,35.46528089977801,,9.282179083554677,P_high,False,False,0.23363941814750433,25,continuous_lift_not_found_under_budget,False,R01_M01,False,,,,,False,T33,0,M01,R01,default,False,False,hemisphere,0.26672406028956175,
,0.6770378928900416,0.29955125869368987,0.37748663419635176,22.735125962644815,,9.762824823033048,P_high,False,False,0.09996963012963533,13,continuous_lift_not_found_under_budget,False,R01_M02,False,,,,,False,T33,0,M02,R01,default,False,False,hemisphere,0.10381827410310507,
,0.568390892457216,0.38305011400162386,0.1853407784555921,44.03437021654099,,8.284399241125346,P_high,False,False,0.5644836267456412,22,continuous_lift_not_found_under_budget,False,R01_M03,False,,,,,False,T33,0,M03,R01,default,False,False,hemisphere,0.5833004619926214,
,0.5830214313154422,0.3358376155571858,0.24718381575825638,22.367973817512393,,9.278800546539559,P_high,False,False,12.06502580922097,558,continuous_lift_not_found_under_budget,False,R02_M00,False,,,,,False,T33,0,M00,R02,default,False,False,hemisphere,12.403019265271723,
,0.5828939381706438,0.33583761555718583,0.247056322613458,35.46528089977801,,9.27880054653956,P_high,False,False,3.228631994687021,302,continuous_lift_not_found_under_budget,False,R02_M01,False,,,,,False,T33,0,M01,R02,default,False,False,hemisphere,3.923205799423158,
,0.6826753948266528,0.2990211971881125,0.3836541976385403,22.735125962644815,,9.766203360048168,P_high,False,False,5.085303068161011,317,continuous_lift_not_found_under_budget,False,R02_M02,False,,,,,False,T33,0,M02,R02,default,False,False,hemisphere,6.002668286673725,
,0.5808933001944347,0.38492853281446493,0.1959647673799698,44.03437021654099,,8.354541118580903,P_high,False,False,6.1396501855924726,308,continuous_lift_not_found_under_budget,False,R02_M03,False,,,,,False,T33,0,M03,R02,default,False,False,hemisphere,6.672732574865222,
,0.5830214313154422,0.3358376155571858,0.24718381575825638,22.367973817512393,,9.278800546539557,P_high,False,False,8.963465639390051,292,continuous_lift_not_found_under_budget,False,R03_M00,False,,,,,False,T33,0,M00,R03,default,False,False,hemisphere,9.150475149042904,
,0.5828939381706437,0.3358376155571858,0.24705632261345797,35.46528089977801,,9.27880054653956,P_high,False,False,0.007106502540409565,6,continuous_lift_not_found_under_budget,False,R03_M01,False,,,,,False,T33,0,M01,R03,default,False,False,hemisphere,0.011042318306863308,
,0.6739377793048016,0.29955125869368987,0.37438652061111166,22.735125962644815,,9.75944628601793,P_high,False,False,7.601586859673262,329,continuous_lift_not_found_under_budget,False,R03_M02,False,,,,,False,T33,0,M02,R03,default,False,False,hemisphere,8.140056489035487,
,0.581465675679686,0.38492853281446493,0.19653714286522106,44.03437021654099,,8.357919655596028,P_high,False,False,0.7325866837054491,36,continuous_lift_not_found_under_budget,False,R03_M03,False,,,,,False,T33,0,M03,R03,default,False,False,hemisphere,0.7683158814907074,
,0.582347320756425,0.33501550384684353,0.24733181690958153,22.367973817512393,,9.28407672856603,P_high,False,False,3.151055603288114,181,continuous_lift_not_found_under_budget,False,R04_M00,False,,,,,False,T33,0,M00,R04,default,False,False,hemisphere,3.160742803476751,
,0.5834663403584941,0.3358376155571858,0.24762872480130835,35.46528089977801,,9.282179083554682,P_high,False,False,4.360566707327962,411,continuous_lift_not_found_under_budget,False,R04_M01,False,,,,,False,T33,0,M01,R04,default,False,False,hemisphere,4.609563525766134,
,0.680111539500136,0.2992616293412095,0.38084991015892655,22.735125962644815,,9.762824823033048,P_high,False,False,17.02240486536175,524,continuous_lift_not_found_under_budget,False,R04_M02,False,,,,,False,T33,0,M02,R04,default,False,False,hemisphere,17.162179657258093,
,0.5689632679424672,0.38305011400162386,0.18591315394084335,44.03437021654099,,8.287777778140464,P_high,False,False,5.121979133225977,338,continuous_lift_not_found_under_budget,False,R04_M03,False,,,,,False,T33,0,M03,R04,default,False,False,hemisphere,5.323933188803494,
,0.5844919030010716,0.33479006090036745,0.24970184210070412,22.367973817512393,,9.291494659419751,P_high,False,False,6.196603938937187,310,continuous_lift_not_found_under_budget,False,R05_M00,False,,,,,False,T33,0,M00,R05,default,False,False,hemisphere,6.302562467753887,
,0.5836645412262234,0.3347900609003674,0.248874480325856,35.46528089977801,,9.288116122404631,P_high,False,False,3.3517912197858095,324,continuous_lift_not_found_under_budget,False,R05_M01,False,,,,,False,T33,0,M01,R05,default,False,False,hemisphere,3.6242640633136034,
,0.6523353225160973,0.309761292268437,0.3425740302476602,22.735125962644815,,9.542344294868428,P_high,False,False,0.29465009085834026,27,continuous_lift_not_found_under_budget,False,R05_M02,False,,,,,False,T33,0,M02,R05,default,False,False,hemisphere,0.3036521514877677,
,0.5718226341123189,0.3764427786326613,0.1953798554796577,44.03437021654099,,8.4270524939301,P_high,False,False,0.48995976615697145,31,continuous_lift_not_found_under_budget,False,R05_M03,False,,,,,False,T33,0,M03,R05,default,False,False,hemisphere,0.49385749641805887,
,0.5825834967742214,0.33479006090036745,0.2477934358738539,22.367973817512393,,9.281359048374393,P_high,False,False,7.7636255184188485,803,continuous_lift_not_found_under_budget,False,R06_M00,False,,,,,False,T33,0,M00,R06,default,False,False,hemisphere,7.819731839001179,
,0.5825197368505225,0.3347900609003674,0.24772967595015508,35.46528089977801,,9.281359048374393,P_high,False,False,15.286711043678224,750,continuous_lift_not_found_under_budget,False,R06_M01,False,,,,,False,T33,0,M01,R06,default,False,False,hemisphere,15.445935877040029,
,0.651110419396066,0.309761292268437,0.341349127127629,22.735125962644815,,9.545722831883548,P_high,False,False,0.06898834183812141,11,continuous_lift_not_found_under_budget,False,R06_M02,False,,,,,False,T33,0,M02,R06,default,False,False,hemisphere,0.07390203606337309,
