E_NUC,E_miss,E_rep,L_S,NUC_generation_time,canonical_layout,evaluation_surface_hash,expansion_policy,geometry_baseline,layout_id,local_refinement_time,mapped_face,mapped_position,mapping_distance_m,max_visit_count,overlap_area_fraction,physical_root_position,remesh_id,root_id,single_coverage_fraction,skeleton_fingerprint,surface_id
0.5837753363973166,0.3344242454590675,0.24935109093824914,9.294206834155696,0.0024393564090132713,True,154491f5827fe6549d4e31bec082ee3919f2cc4ac74430ed24cd224685ceb23f,upstream_first,False,R00_M00,0.03971854876726866,0,"[0.026994261849565743, 0.007276797788043908, 0.13541570904824463]",0.0013699996825468543,3,0.23559470244260783,"[0.027208388989726925, 0.007334172982327683, 0.13676765460377036]",M00,R00,0.4299810520983248,fdf67d04b0068338df074097dbe7d641256b921f4760ae960a926baa4aa93a4f,hemisphere
0.5842299956148419,0.3358376155571858,0.24839238005765615,9.2855576205698,0.002336987294256687,False,154491f5827fe6549d4e31bec082ee3919f2cc4ac74430ed24cd224685ceb23f,upstream_first,False,R01_M00,0.04258028790354729,100,"[-0.04844856237914347, -0.1269788386632558, 0.00024881341073092027]",0.00295334653710149,4,0.23610548920086757,"[-0.049204153467517525, -0.12979874299481403, 0.0006954423800535112]",M00,R01,0.4280568952419467,08deffdce7ebf286e2f80bb34456b15c872799bb4ed921b634f5b65f85f36fed,hemisphere
0.5830214313154422,0.3358376155571858,0.24718381575825638,9.278800546539559,0.0024464959278702736,False,154491f5827fe6549d4e31bec082ee3919f2cc4ac74430ed24cd224685ceb23f,upstream_first,False,R02_M00,0.043842253275215626,92,"[-0.11133659423556919, 0.07981755748495305, 0.0004132278569402917]",0.0018661514183021723,4,0.23540703099365773,"[-0.1126409860630074, 0.08112194931239125, 0.0006954423800535112]",M00,R02,0.4287553534491565,7501d33a5c4f0c025e2addf8bef2ddae3a3fe79cc63c345411ccc00a18b03297,hemisphere
0.5830214313154422,0.3358376155571858,0.24718381575825638,9.278800546539557,0.002575816586613655,False,154491f5827fe6549d4e31bec082ee3919f2cc4ac74430ed24cd224685ceb23f,upstream_first,False,R03_M00,0.043057527393102646,106,"[0.12697883866325577, -0.04844856237914355, 0.00024881341073092027]",0.0029533465371014904,4,0.23534327106995895,"[0.129798742994814, -0.04920415346751761, 0.0006954423800535112]",M00,R03,0.4288191133728553,4116c7093fd4ee8f4b6f5254ce46ca4b2ce3426c6db5c282c94d0335236fa536,hemisphere
0.582347320756425,0.33501550384684353,0.24733181690958153,9.28407672856603,0.0024629617109894753,False,154491f5827fe6549d4e31bec082ee3919f2cc4ac74430ed24cd224685ceb23f,upstream_first,False,R04_M00,0.04032191168516874,87,"[0.07227173252721866, 0.11845225699119719, 0.0024014319178465443]",0.0006494619335545323,4,0.234987061222292,"[0.07272568970885589, 0.1189062141728344, 0.002499648808534354]",M00,R04,0.42999743493086445,1fdd89182769df019b2c7f524c9180ff53b99193469bf9d7eb88d63e0179e65c,hemisphere
0.5844919030010716,0.33479006090036745,0.24970184210070412,9.291494659419751,0.0024688411504030228,False,154491f5827fe6549d4e31bec082ee3919f2cc4ac74430ed24cd224685ceb23f,upstream_first,False,R05_M00,0.04039798490703106,73,"[-0.11315909428408487, -0.00755946564754657, 0.078517272367662]",0.001215898194660812,4,0.23543240677835092,"[-0.11421285213830229, -0.007841819213602073, 0.0790541888119904]",M00,R05,0.4297775323212817,282efc27a5f0ca5b97fa9682c532ff7fccb75751f90897becdc29bbf91226d09,hemisphere
0.5825834967742214,0.33479006090036745,0.2477934358738539,9.281359048374393,0.0023741843178868294,False,154491f5827fe6549d4e31bec082ee3919f2cc4ac74430ed24cd224685ceb23f,upstream_first,False,R06_M00,0.04002147447317839,79,"[0.028487970729751518, -0.10991510627000727, 0.07387807716389876]",0.004068729534047186,4,0.23422546652258475,"[0.02943280336318928, -0.11344126966264609, 0.07567474715152385]",M00,R06,0.43098447257704786,6e3df3861d2f5b22746b329d853df60342473f9e0ff5a8160fad0db709268a51,hemisphere
0.580829183831358,0.33460950877135776,0.24621967506000014,9.282893584672435,0.0024612899869680405,False,154491f5827fe6549d4e31bec082ee3919f2cc4ac74430ed24cd224685ceb23f,upstream_first,False,R07_M00,0.04148651845753193,66,"[-0.0023284340041108383, 0.11518508122881455, 0.07729194350350241]",0.0007137447527651307,4,0.2343213189464001,"[-0.0024941784530141966, 0.11580364793319438, 0.07760711898159382]",M00,R07,0.4310691722822423,d2927523804ca183c6dbae973ca17c403b3a53050e849465e9e8cf18516fbc73,hemisphere
0.5829480013250676,0.33442424545906746,0.24852375586600017,9.290828297140584,0.0024317316710948944,False,154491f5827fe6549d4e31bec082ee3919f2cc4ac74430ed24cd224685ceb23f,upstream_first,False,R00_M01,0.039533729664981365,0,"[0.027035619043237754, 0.007244172289511037, 0.135566925249901]",0.001216429430900487,4,0.23502246047035266,"[0.027208388989726925, 0.007334172982327683, 0.13676765460377036]",M01,R00,0.43055329407057985,fdf67d04b0068338df074097dbe7d641256b921f4760ae960a926baa4aa93a4f,hemisphere
0.5834663670610934,0.33583761555718583,0.2476287515039076,9.282179083554677,0.0024734968319535255,False,154491f5827fe6549d4e31bec082ee3919f2cc4ac74430ed24cd224685ceb23f,upstream_first,False,R01_M01,0.04184912424534559,98,"[-0.04828180916101168, -0.128201195793874, 0.0004132278569402917]",0.0018661514183021335,4,0.2356606602656133,"[-0.049204153467517525, -0.12979874299481403, 0.0006954423800535112]",M01,R01,0.428501724177201,ef759fc72a970133410be751c7b06a6fe3d535918802175791fbb9dc5bea0119,hemisphere
