layout_a,layout_b,ordered_path_distance_m,root_separation_m,same_remesh,same_root,surface_id,tangent_disagreement_rad,tree_edge_jaccard
R00_M00,R01_M00,0.15972207220302165,0.3158952374498296,True,False,saddle,1.8085438304236308,0.12698412698412698
R00_M00,R02_M00,0.11893818400465084,0.24517920089956544,True,False,saddle,1.6379867248002358,0.16393442622950818
R00_M00,R03_M00,0.1405399078359631,0.2371448503244675,True,False,saddle,1.5121298878078706,0.22413793103448276
R00_M00,R04_M00,0.1554889994711528,0.17598382343965102,True,False,saddle,1.5695852263040895,0.30275229357798167
R00_M00,R05_M00,0.15980124099988074,0.17415469627179858,True,False,saddle,1.5304624352969176,0.26785714285714285
R00_M00,R06_M00,0.08275899040047763,0.1145700316369551,True,False,saddle,1.4297733692043606,0.5434782608695652
R00_M00,R07_M00,0.08336055398552711,0.11041718929043623,True,False,saddle,1.4182619573397393,0.4489795918367347
R00_M00,R00_M01,0.09596569259130035,0.0,False,True,saddle,1.3569018374357047,
R00_M00,R01_M01,0.14780915401123582,0.3158952374498296,False,False,saddle,1.7589082698748535,
R00_M00,R02_M01,0.13209863129673627,0.24517920089956544,False,False,saddle,1.7113106876065907,
R00_M00,R03_M01,0.12926565236750182,0.2371448503244675,False,False,saddle,1.5836321679942325,
R00_M00,R04_M01,0.132843730793493,0.17598382343965102,False,False,saddle,1.552377775288373,
R00_M00,R05_M01,0.15706541079896585,0.17415469627179858,False,False,saddle,1.5703501226198224,
R00_M00,R06_M01,0.15596526878508352,0.1145700316369551,False,False,saddle,1.4251293331449963,
R00_M00,R07_M01,0.08223466046659329,0.11041718929043623,False,False,saddle,1.501290897182189,
R00_M00,R00_M02,0.04557910788677766,0.0,False,True,saddle,1.1231767981971696,
R00_M00,R01_M02,0.1560003964274762,0.3158952374498296,False,False,saddle,1.7416184487749886,
R00_M00,R02_M02,0.127112925995714,0.24517920089956544,False,False,saddle,1.5594188463110747,
R00_M00,R03_M02,0.13694045039246672,0.2371448503244675,False,False,saddle,1.5773583997204017,
R00_M00,R04_M02,0.15086364511591127,0.17598382343965102,False,False,saddle,1.5679695263029696,
