scene_id,k,method,edge_ids_sha256,screen_status,E_miss_Q2,E_rep_Q2,E_miss_Q3,E_rep_Q3,seconds
T30,2,A,6eb4b429fc7a7e76d590ad6d76c56b4d66c11e816144725b2f4f97b1dbeb5d14,Q3_PASS,0.015486369149693273,0.05061866280875977,0.01567809173652108,0.048580081371467,14.794420436024666
T30,2,A,96d2eac8a7d6a4bfeb669f614e3f50211f4fe43fd4f0a06a57f35d5dd502535e,Q3_PASS,0.015486369149693273,0.05063824754001457,0.01567809173652108,0.0485796110567806,14.671236895024776
T30,2,A,6572e0d78ad5368ba287b33d3c18ac11fc523ffe97799f4c6988e61f3501e487,SCREEN_NOT_RUN,0.015486369149693273,0.05063824754001457,,,0.0
T33,1,A,9c37a2675de9be6ba904c50a1bf470924419a38468018d3beed219ab4af65707,SCREEN_NOT_RUN,0.017692351166802414,0.07289272208184515,,,0.0
T33,1,A,be30d1dae0327a4eaead1d9ed0754b24113f3643f7858ab829d725b3f7906e00,SCREEN_NOT_RUN,0.019138263909807746,0.08112955687048708,,,0.0
T33,1,A,d77f91258db67277838a68bc9c57406bfa0a4223831cc56f0b11ad6f7fbd4b84,SCREEN_NOT_RUN,0.017692351166802414,0.0749334924259443,,,0.0
T33,1,A,9e186b8b97f621465b7cc8b8e37efa8410be785e9f605e25d39c8dc98121ed04,SCREEN_NOT_RUN,0.017692351166802414,0.07508321851814985,,,0.0
T33,1,A,9a44098454d2a777044ddbafb5f541aa84620607d3e434d55f0a594733b84175,Q3_PASS,0.0181425153688186,0.04003701727142195,0.018376839476311968,0.03850765380008452,14.956410057842731
T33,1,A,b049d079b9b6011e102da3be7071fa3da38146420c75082a1e8347d89f8910d8,SCREEN_NOT_RUN,0.01720548950588534,0.041225933328805815,,,0.0
T33,1,A,57d88235ad39a787ea0120e315563ef50b1828c7e70a8ff6981542b41275fb00,Q3_PASS,0.016694299460178665,0.04063210198816488,0.01686490372652967,0.03893261741980699,14.342186659574509
T33,1,A,31297588a11128344970310ec29b327d38bedca8a935f3358f2242e2a613ba9e,SCREEN_NOT_RUN,0.016609150546086783,0.04173675809439925,,,0.0
T33,1,B,9a44098454d2a777044ddbafb5f541aa84620607d3e434d55f0a594733b84175,Q3_PASS,0.0181425153688186,0.04003701727142196,0.018376839476311968,0.03850765380008452,14.268392622470856
