scene_id,k,method,cache_entries,cache_bytes,omitted_by_cap
T30,1,A,0,0,0
T30,1,B,59,66923376,0
T30,2,B,76,66517312,0
T30,2,A,0,0,0
T27,1,A,0,0,0
T27,1,B,83,66314752,0
T27,2,B,83,66314752,0
T27,2,A,0,0,0
T33,1,A,0,0,0
T33,1,B,62,66518320,0
T33,2,B,69,66112200,0
T33,2,A,0,0,0
