scene_id,port_id,seed_id,outcome,selected,q0,q1,q2,q3,q4,q5,position_error_m,axis_error_deg,sigma5,joint_margin,collision_free
T30,0,3,ik_not_found,False,,,,,,,,,,,
T30,0,4,ik_not_found,False,,,,,,,,,,,
T30,0,published_root,selected,True,-1.5410352853571834,-1.5099632769299884,1.6873016714324718,-1.6205584452406185,-1.6099928012468316,-2.0290631599706334e-17,6.164154654643818e-09,1.2074182697257333e-06,0.7211266481557286,0.23144967826954135,True
T30,0,0,q6_only_or_effective_near_duplicate,False,-1.5410352853571834,-1.5099632769299884,1.6873016714324718,-1.6205584452406185,-1.6099928012468316,-2.0290631599706334e-17,6.164154654643818e-09,1.2074182697257333e-06,0.7211266481557286,0.23144967826954135,True
T30,0,1,q6_only_or_effective_near_duplicate,False,-1.5410352853571834,-1.5099632769299884,1.6873016714324718,-1.6205584452406185,-1.6099928012468316,-4.0498332358131295e-17,6.164154657589991e-09,1.2074182697257333e-06,0.721126648155729,0.23144967826954135,True
T30,0,2,q6_only_or_effective_near_duplicate,False,-1.5410352789833928,-1.5099672961269552,1.6873085231449372,-1.6205612598304033,-1.6099928049104024,-6.199214443753461e-17,2.1521152203899213e-06,2.0913097891518726e-06,0.7211274659566752,0.23144858775347174,True
T30,0,5,selected,True,-4.169615306076505,-3.2275498895947363,1.6866082289825235,-3.30182130379996,1.5990497563325783,2.0640966170960325e-16,1.1319132943474403e-05,0.0027218911763671975,1.000313309380537,0.16819280444515408,True
T30,0,6,selected,True,2.113586819850808,-3.227564367065257,1.6866274860681487,-3.3018728065852065,-4.684127631429191,-9.866275441715697e-16,1.0825372328149832e-05,3.4150945850063763e-06,1.0003225114563343,0.12724924509451482,True
T30,0,7,selected,True,-1.5410353260284007,-1.5099635823599675,1.6873018058084084,4.662626978520383,-1.609992360104397,-6.531563874539497e-15,1.370188651786049e-07,2.5783398697588023e-05,0.7211266948712698,0.12896021141168873,True
T30,1,3,ik_not_found,False,,,,,,,,,,,
T30,1,4,ik_not_found,False,,,,,,,,,,,
T30,1,0,selected,True,-1.5922794938845182,-1.5999417159629317,1.8102158503608978,-1.7910230245180738,-1.5081087294281075,1.76459597708454e-17,5.677589830653423e-06,0.003223740077957265,0.7206946210385871,0.2118867021548786,True
T30,1,1,q6_only_or_effective_near_duplicate,False,-1.592277745106666,-1.599924557015258,1.8102001993604129,-1.790968387975731,-1.5081050959837679,-2.5186147950010976e-18,6.485807894108225e-07,2.0913097891518726e-06,0.7206979682499323,0.2118891931624363,True
T30,1,2,q6_only_or_effective_near_duplicate,False,-1.592278215907133,-1.599925452185983,1.8102009663061036,-1.7909685969017648,-1.508105174840419,-1.1212431234302127e-17,6.987190995904133e-07,2.171675268208478e-05,0.7206980488342982,0.21188907109563848,True
T30,1,5,selected,True,-4.179495383503426,-3.2566843844118867,1.8166715071051296,-3.2309399449659923,1.6188812972666056,3.417976089554554e-16,1.7349724990696763e-06,9.283782465750071e-05,0.9615155642612121,0.1674065734520661,True
T30,1,6,selected,True,2.103688870995788,-3.2566931173105313,1.8166742679403567,-3.230933083046464,-4.664302633006237,-1.139103922283769e-15,2.6530488454868926e-06,2.6998693283819165e-06,0.9615155822272204,0.12882686716411276,True
T30,1,7,selected,True,-1.5922777142525573,-1.599924812093238,1.8101987584601267,4.49221860327539,-1.508105051488682,-5.4854069947606516e-15,1.0405103855688828e-08,3.4150945850063763e-06,0.7206979552941061,0.142520868915679,True
T30,2,3,ik_not_found,False,,,,,,,,,,,
T30,2,4,ik_not_found,False,,,,,,,,,,,
T30,2,0,selected,True,-1.5389117726818904,-1.4393645303027807,1.5925046563756116,-1.4737358336704585,-1.6142484618739001,-2.797775501044585e-17,7.684070718629105e-07,6.830189170012755e-06,0.7207114422277509,0.2465375367856738,True
T30,2,1,q6_only_or_effective_near_duplicate,False,-1.5389114838237055,-1.4393641804545887,1.5925023835961334,-1.4737338021998543,-1.614248445245463,-3.4060681129661456e-17,9.46592911970178e-09,1.478779333471098e-06,0.7207112436175616,0.2465378985204308,True
T30,2,2,q6_only_or_effective_near_duplicate,False,-1.5389114835358064,-1.439364172690259,1.5925023704468575,-1.4737337944497295,-1.6142484443257081,-7.803220736722166e-17,5.9181539633560584e-09,2.831646840510158e-06,0.720711241998914,0.24653790061326478,True
T30,2,5,selected,True,-4.19402801252808,-3.2141071932080103,1.5947553111508699,-3.3350900010296476,1.648117584576959,2.49787639691473e-16,3.6507445139519054e-06,0.00034683391913886924,1.0238906904769907,0.16625010444311886,True
T30,2,6,selected,True,2.089152888670572,-3.2141339451849693,1.5947751766416305,-3.3350783141924594,-4.6350655358773425,-1.1876694826195837e-15,1.3148839011686319e-05,2.2588727439225506e-06,1.0238897378317875,0.13115347969126015,True
T30,2,7,selected,True,-1.5389114822406742,-1.4393641866608053,1.5925023662094597,4.809451523486322,-1.6142484067532217,-7.684968489611095e-15,1.2743551673902997e-08,3.1945284701301985e-06,0.7207112435454747,0.11727629408896423,True
T30,3,3,ik_not_found,False,,,,,,,,,,,
T30,3,4,ik_not_found,False,,,,,,,,,,,
T30,3,0,selected,True,-1.4116338333688565,-1.4218108722311602,1.6012301446415473,-1.5138317575978695,-1.8773810861981906,-1.065495257817859e-16,5.195795312308528e-07,2.993082492302023e-05,0.6880547554763801,0.2451487912396073,True
T30,3,1,q6_only_or_effective_near_duplicate,False,-1.4116403789738246,-1.4218260738760014,1.6012428104415342,-1.513832700866236,-1.8773721644694672,-4.914769968431983e-17,6.538731339654546e-06,0.0006296978573906465,0.6880585715075063,0.24514677535547763,True
T30,3,2,q6_only_or_effective_near_duplicate,False,-1.411612943779878,-1.4218504811653259,1.601227601913448,-1.513907483291575,-1.8773819224905752,-2.305479041057301e-16,3.0125624992939005e-05,0.006784129557640292,0.6880462871747306,0.2451491959392889,True
T30,3,5,selected,True,-4.0719069689022565,-3.2118809978891085,1.5693376190094797,-3.41917203514385,1.4058962661528072,1.2520162016132144e-16,9.835943299055254e-08,2.7039160995690246e-05,1.0310077269828772,0.17596818105912312,True
T30,3,6,selected,True,2.21127816071048,-3.211881450542293,1.5693380760338054,-3.4191716195249695,-4.8772888278878845,-8.194742735389837e-16,2.0375365828972975e-07,1.2074182697257333e-06,1.0310076783998547,0.11187797696012024,True
T30,3,7,selected,True,-1.4116266903848003,-1.4218313358144097,1.6012398309514815,4.769318788251463,-1.8774045233751893,-3.612091279747205e-15,1.0624490527447161e-05,0.0029540064778294174,0.6880481763109275,0.12046995329987926,True
T30,4,3,ik_not_found,False,,,,,,,,,,,
T30,4,0,selected,True,-1.6139803397957928,-1.6665484778585042,1.9114174840189464,-1.9467365841415671,-1.4653014475493005,4.092365182715979e-17,2.119496219955579e-06,0.0007010786612863583,0.714378732553976,0.19577948686631447,True
T30,4,1,q6_only_or_effective_near_duplicate,False,-1.6139746856423705,-1.666543505625443,1.9114109970106072,-1.9467243746241227,-1.4653070551714227,1.537096504068716e-17,6.952820728814947e-09,1.7075472925031877e-06,0.7143796666854547,0.1957805193362077,True
T30,4,2,q6_only_or_effective_near_duplicate,False,-1.6139748285010638,-1.666543615774934,1.911411471328726,-1.946724817039536,-1.4653070431116582,-2.7522012343476394e-17,1.644326260300996e-07,6.2155659652833185e-06,0.7143796670147541,0.19578044384390803,True
T30,4,4,selected,True,2.1203618701457185,-1.4785781822735076,-1.9177153659687365,5.134499560026761,1.5855284435344268,5.508298155696972e-13,6.541377090014573e-08,6.156649318399953e-06,0.7139575118908416,0.091409812529403,True
T30,4,5,selection_cap_excluded,False,-4.162823397281757,-3.281312987446997,1.9177152773410389,-3.181381552515914,1.5855282945716125,2.690957779161623e-16,2.3514566123866468e-08,4.517745487845103e-06,0.9268682844545918,0.16873328697033219,True
T30,4,6,selected,True,2.120361673362703,-3.2813156594395845,1.9177170240368568,-3.181380615840503,-4.697656904790663,-1.085715367760442e-15,1.0504354150350703e-06,2.2588727439225506e-06,0.9268682710027294,0.12617262053267028,True
T30,4,7,selected,True,-1.6139726756944273,-1.6665534211478052,1.9114175896078727,4.3364645101662065,-1.4653088836129708,-4.90739571590728e-15,4.329775172334582e-06,9.357296843466734e-05,0.7143807377628594,0.15491537657096108,True
T30,5,3,ik_not_found,False,,,,,,,,,,,
T30,5,4,ik_not_found,False,,,,,,,,,,,
T30,5,0,selected,True,-1.6687730181164733,-1.4404343581347332,1.600789538960893,-1.400235821864063,-1.35762668057951,4.778261021471284e-17,7.19028238339506e-07,0.00014685899442030156,0.7173410133149659,0.2452189178798515,True
T30,5,1,q6_only_or_effective_near_duplicate,False,-1.6687729729784073,-1.4404329938538136,1.6007906144688169,-1.400238120813561,-1.3576248454965218,8.227493133473436e-17,7.693202543554158e-07,6.194420527437567e-05,0.7173406607444628,0.24521874670240065,True
T30,5,2,q6_only_or_effective_near_duplicate,False,-1.6688056531090303,-1.4404484408215412,1.6008631177129988,-1.4003651849602345,-1.3576106668668508,6.507267620164189e-17,2.2894356058288937e-05,0.0045676657093527305,0.717336553093964,0.2452072071123669,True
T30,5,5,selected,True,-4.321104389617682,-3.2503968895083983,1.6383458106203355,-3.2935738695766124,1.9134459238525863,2.435159693807414e-16,1.2176631066628085e-07,8.009106731400786e-06,1.0130181344694518,0.15613769521392143,True
T30,5,6,selected,True,1.962080885798354,-3.2503978607618427,1.6383466040291705,-3.2935735657145733,-4.369739434141057,-1.4073382288179912e-15,4.055128682332832e-07,1.2074182697257333e-06,1.0130180902741215,0.15226744423286123,True
T30,5,7,selected,True,-1.668774411987956,-1.440435398188794,1.6007896488503648,4.8829550205879,-1.3576235472427138,-6.768323489807068e-14,1.4218345954512199e-06,0.00019273550047314467,0.7173413294499403,0.11142707600853229,True
T30,6,3,ik_not_found,False,,,,,,,,,,,
T30,6,4,ik_not_found,False,,,,,,,,,,,
T30,6,0,selected,True,-1.5827131130362757,-1.724119116472667,2.0211935839044104,-2.1601006970239274,-1.5270276826749012,5.133292768080014e-17,1.0646487266184976e-06,7.510782202063201e-05,0.7053105165307825,0.17830756264453124,True
T30,6,1,q6_only_or_effective_near_duplicate,False,-1.5827130079904896,-1.724146484699276,2.0212182313462055,-2.1600968589302645,-1.5270295776204792,-9.726971227240352e-18,1.1426530660300887e-05,0.00010522911720795096,0.7053118823279455,0.1783036397666393,True
T30,6,2,q6_only_or_effective_near_duplicate,False,-1.5827113505756265,-1.7241190025703619,2.02119154454875,-2.160097550727588,-1.5270282337513679,5.661856553525862e-18,1.9673149124985362e-07,1.478779333471098e-06,0.7053107214213202,0.17830788722763807,True
T30,6,5,selected,True,-4.086253677098855,-3.3023271762569766,2.017057156922958,-3.1644411050741206,1.4340849770295954,3.5818929016528775e-16,3.4721722909791663e-06,0.00025093248440995506,0.8900472675762041,0.17482650714853004,True
T30,6,6,selected,True,2.196929264220738,-3.302343738625153,2.017061057124952,-3.1644246117815773,-4.849096925027583,-1.508234762768877e-15,3.744147241595777e-06,8.233494873389921e-06,0.8900472967263604,0.11412141563222004,True
T30,6,7,selected,True,-1.5827118960904687,-1.7241290909837723,2.0212029142087267,4.1230892983105365,-1.5270270800916061,-3.5089348147804793e-15,4.8531237877087414e-06,0.00016915279267695302,0.7053112753313465,0.17189522373901345,True
T30,7,3,ik_not_found,False,,,,,,,,,,,
T30,7,4,ik_not_found,False,,,,,,,,,,,
T30,7,0,selected,True,-1.3515923914674122,-1.4382987478579197,1.6552556657775346,-1.5937804112385936,-2.010197899394366,-1.4968937074364016e-16,2.4230401228329593e-05,0.001883629194483412,0.6569238883984998,0.23655010890059933,True
T30,7,1,q6_only_or_effective_near_duplicate,False,-1.3515981729143172,-1.4382543780418808,1.6552478321345205,-1.5938373570133064,-2.0101702800489925,-1.2280994951353236e-16,6.949145651082194e-08,5.193302344775283e-06,0.6569256381936414,0.23655135570037872,True
T30,7,2,q6_only_or_effective_near_duplicate,False,-1.351597410852016,-1.438261472399424,1.6552542121865559,-1.5938425533295277,-2.0101731634219253,-1.8153558221998383e-16,2.7280957258885963e-06,0.000364339338192522,0.6569252433151148,0.236550340253612,True
T30,7,5,selected,True,-4.004195487441528,-3.228368507177645,1.6044902253389828,-3.467642021475257,1.2728223575873052,2.3330043457313364e-16,1.8252401361219406e-08,6.445849674396954e-06,1.024469704276926,0.18135648552395137,True
T30,7,6,selected,True,2.278989471452207,-3.2283709747041285,1.6044927388801942,-3.4676418718250415,-5.010362945222441,-1.3791026275744763e-15,1.0496708488657003e-06,4.182619578303746e-06,1.0244697216112528,0.10128828308371693,True
T30,7,7,selected,True,-1.3515980687789777,-1.4382549760308287,1.6552477895281632,4.689349213937867,-2.010170494665538,-2.768690681409622e-15,4.2795091091628947e-07,3.3526246359979845e-05,0.6569256821261201,0.1268337250713517,True
T30,8,3,ik_not_found,False,,,,,,,,,,,
T30,8,4,ik_not_found,False,,,,,,,,,,,
T30,8,0,selected,True,-1.5827658094336363,-1.330214469801785,1.4554484776563787,-1.2414098871209407,-1.5269157397622823,5.577795030230068e-19,2.5792968562415065e-06,0.00014818323259216837,0.721098793295712,0.2683513484551363,True
T30,8,1,q6_only_or_effective_near_duplicate,False,-1.5827674929508009,-1.3302157791062252,1.4554523387407097,-1.2414103238241723,-1.5269153956427461,2.2516546310645155e-18,3.448199015332604e-06,1.6063655294419955e-05,0.7210996828986009,0.26835073392635533,True
T30,8,2,q6_only_or_effective_near_duplicate,False,-1.582759412701492,-1.3302319982997233,1.4554666443071704,-1.2414060505091897,-1.526901768242651,-6.173860208729958e-17,1.1435004887621545e-05,0.0005840691660089824,0.7211034902690137,0.2683484570575887,True
T30,8,5,selected,True,-4.2702856474811846,-3.208352522023848,1.4743007099925758,-3.3740993303137254,1.8047741275415432,5.208753935267962e-17,2.3541697036943258e-06,0.00015651559557316387,1.0501231078063202,0.1601817191998663,True
T30,8,6,selected,True,2.012897405032356,-3.208371801649994,1.474319887920602,-3.374097035002688,-4.478411272417514,-1.1614008247663108e-15,9.584632846243054e-06,1.478779333471098e-06,1.0501227669383117,0.14361962057350536,True
T30,8,7,selected,True,-1.5827684458310047,-0.8506044598823475,0.9617775747650144,1.9142460359205606,1.5269153538608093,-2.7311159668749053e-14,3.501193624983022e-07,1.5649929441225564e-05,1.0142829970290141,0.3469238302140674,True
T30,9,3,ik_not_found,False,,,,,,,,,,,
T30,9,4,ik_not_found,False,,,,,,,,,,,
T30,9,0,selected,True,-1.4768520972739858,-1.2210097561533488,1.329597941291021,-1.0915651033343423,-1.7402397653210528,-1.6854259132464333e-16,1.3070735172476296e-06,8.55394278039201e-05,0.702510555039399,0.28838167415390403,True
T30,9,1,q6_only_or_effective_near_duplicate,False,-1.47685202822795,-1.2210096206395697,1.3295976700889673,-1.0915650346092272,-1.7402398657003657,-1.3254395117728816e-16,1.2306833357228195e-06,8.632829538849001e-05,0.7025104779957597,0.28838171731832446,True
T30,9,2,q6_only_or_effective_near_duplicate,False,-1.4768510837271458,-1.2210100288490575,1.3295952659499555,-1.0915610523918224,-1.7402381676123146,-1.1799128378835e-16,1.3009718995256726e-06,0.00010018661774656924,0.7025106142400697,0.2883820999602172,True
T30,9,5,selected,True,-4.191768069172553,-3.1828733038593624,1.3231903328061345,-3.457868575581663,1.6435568594925014,9.176672744260318e-17,1.3783685754630628e-08,2.2588727439225506e-06,1.0788433640337918,0.16642994488686857,True
T30,9,6,selected,True,2.0914172329398992,-3.182873694840193,1.3231910205886837,-3.457868868048025,-4.639628447980172,-1.0037364281382236e-15,1.9084778012879412e-07,2.0913097891518726e-06,1.078843378390646,0.13079037495442825,True
T30,9,7,selected,True,-1.476850871561379,-0.7461122984414634,0.855033508969964,2.049695985399428,1.74023902976647,-1.1452602656348862e-14,4.070907494831826e-07,4.173023400188029e-05,1.0728264741155404,0.3368904978681666,True
T30,10,3,ik_not_found,False,,,,,,,,,,,
T30,10,4,ik_not_found,False,,,,,,,,,,,
T30,10,0,selected,True,-1.30132507405163,-1.4712501101466051,1.741757383068124,-1.7274944253916964,-2.128496369365674,-2.2887756771071015e-16,2.0760103970454624e-06,0.0002458527161009405,0.6188007166166131,0.2227825269667159,True
T30,10,1,q6_only_or_effective_near_duplicate,False,-1.3013236606392529,-1.4713080593781434,1.7417843555746957,-1.7274140112484555,-2.128537883895958,-2.746493802718505e-16,3.0629905223131555e-05,0.003600026253981972,0.6187940884446381,0.22277823403235786,True
