candidate_id,condition,family,mesh_projection_max_m,mesh_projection_mean_m,missed_lower,missed_upper,path_length_m,path_step_m,quadrature,repeat_lower,repeat_upper,runtime_s,schedule_index,surface_id,surface_samples,uncertain_area_fraction
saddle/raster_u_phase_0.00,L,raster_u_phase_0.00,,,0.11665081392447636,0.11665081392447636,6.724903413047916,,,0.5113519219361863,0.5113519219361863,2.2935881167650223,,saddle,,0.0
saddle/raster_u_phase_0.00,P,raster_u_phase_0.00,0.00014974577834361204,5.429702916963803e-05,0.1463398408592802,0.1463398408592802,3.904459342919602,,,0.12525959153509708,0.12525959153509708,6.956359073519707,,saddle,,0.0
saddle/raster_u_phase_0.00,R,raster_u_phase_0.00,,,0.026563811733936855,0.02667521936298122,3.904460346660018,0.00025,Q2,0.005928898169562132,0.005928898169562132,117.1625537648797,4,saddle,36864,0.0011502264360310549
saddle/raster_v_phase_0.00,L,raster_v_phase_0.00,,,0.15123934834109695,0.15123934834109695,6.675540092211744,,,0.46059020478532403,0.46059020478532403,2.162458658218384,,saddle,,0.0
saddle/raster_v_phase_0.00,P,raster_v_phase_0.00,0.00014974577834361204,5.4297029169638e-05,0.1429406469087606,0.1429406469087606,3.904459342919602,,,0.1345859675127041,0.1345859675127041,6.467679910361767,,saddle,,0.0
saddle/raster_v_phase_0.00,R,raster_v_phase_0.00,,,0.026563811733936855,0.02667521936298122,3.904460346660018,0.00025,Q2,0.005928898169562132,0.005928898169562132,118.06480327993631,4,saddle,36864,0.0011502264360310544
saddle/spiral_phase_0.00,L,spiral_phase_0.00,,,0.14495092628343478,0.14495092628343478,6.840335778765424,,,0.47144884555997524,0.47144884555997524,2.2176219671964645,,saddle,,0.0
saddle/spiral_phase_0.00,P,spiral_phase_0.00,0.00014981015161364135,5.691851633072104e-05,0.1686404742163306,0.1686404742163306,4.024336464746424,,,0.012180737615620699,0.012180737615620699,6.323846943676472,,saddle,,0.0
saddle/spiral_phase_0.00,R,spiral_phase_0.00,,,0.038598542027659305,0.038598542027659305,4.024337684022766,0.00025,Q2,0.012258884020091041,0.012258884020091041,122.38818319886923,4,saddle,36864,0.0017115104461226825
saddle/raster_u_phase_0.00_k2,L,raster_u_phase_0.00_k2,,,0.11752867669262904,0.11752867669262904,6.708899093372062,,,0.5113519219361863,0.5113519219361863,2.422136463224888,,saddle,,0.0
saddle/raster_u_phase_0.00_k2,P,raster_u_phase_0.00_k2,0.00014974577834361204,5.407486098430772e-05,0.1472177036274329,0.1472177036274329,3.888453206349994,,,0.12525959153509708,0.12525959153509708,6.776205942034721,,saddle,,0.0
saddle/raster_u_phase_0.00_k2,R,raster_u_phase_0.00_k2,,,0.026563811733936855,0.02667521936298122,3.888454204781639,0.00025,Q2,0.005488363200604197,0.005488363200604197,114.45820713043213,4,saddle,36864,0.0011502264360310549
hemisphere/raster_u_phase_0.00,L,raster_u_phase_0.00,,,0.12865995788050197,0.12865995788050197,14.944944957369422,,,0.5891812185774825,0.5891812185774825,7.4355859607458115,,hemisphere,,0.0
hemisphere/raster_u_phase_0.00,P,raster_u_phase_0.00,0.0015851469818267071,0.000785988444456371,0.13659126936445543,0.13659126936445543,8.048103376256414,,,0.03152214433224331,0.03152214433224331,33.629080414772034,,hemisphere,,0.0
hemisphere/raster_u_phase_0.00,R,raster_u_phase_0.00,,,0.0,0.0,8.048118108610025,0.00025,Q2,0.028613771009902214,0.028613771009902214,2.893660791218281,4,hemisphere,18432,0.0
hemisphere/raster_u_phase_0.25,L,raster_u_phase_0.25,,,0.1279291181632661,0.1279291181632661,14.95252382619696,,,0.630147632300362,0.630147632300362,7.429096005856991,,hemisphere,,0.0
hemisphere/raster_u_phase_0.25,P,raster_u_phase_0.25,0.0015851469818266965,0.000785988444456371,0.13659126936445543,0.13659126936445543,8.048103376256414,,,0.031698913597177254,0.031698913597177254,33.604019075632095,,hemisphere,,0.0
hemisphere/raster_u_phase_0.25,R,raster_u_phase_0.25,,,0.0,0.0,8.048118108610025,0.00025,Q2,0.028613771009902214,0.028613771009902214,2.883602060377598,4,hemisphere,18432,0.0
hemisphere/raster_v_phase_0.00,L,raster_v_phase_0.00,,,0.01627435114085202,0.01627435114085202,22.55025737205538,,,1.235339508243103,1.235339508243103,10.272325605154037,,hemisphere,,0.0
hemisphere/raster_v_phase_0.00,P,raster_v_phase_0.00,0.0016179495665860622,0.0006875040112164569,0.027621293707295904,0.027621293707295904,12.52693175835196,,,0.38608615237702604,0.38608615237702604,48.36920501291752,,hemisphere,,0.0
hemisphere/raster_v_phase_0.00,R,raster_v_phase_0.00,,,0.0,0.0,12.526957906523227,0.00025,Q2,0.5768596527647245,0.5768596527647245,4.548541963100433,4,hemisphere,18432,0.0
hemisphere/spiral_phase_0.00,L,spiral_phase_0.00,,,0.14756320960432384,0.14756320960432384,14.680311982295587,,,0.528890405486809,0.528890405486809,7.419600784778595,,hemisphere,,0.0
hemisphere/spiral_phase_0.00,P,spiral_phase_0.00,0.0016182740750639915,0.0007990249815116727,0.15622287527999765,0.15622287527999765,7.847173035488225,,,0.0117344473035281,0.0117344473035281,33.36369861662388,,hemisphere,,0.0
hemisphere/spiral_phase_0.00,R,spiral_phase_0.00,,,0.012865105371146915,0.012865105371146915,7.847187061321865,0.00025,Q2,0.020481885135644542,0.020481885135644542,2.792651116847992,4,hemisphere,18432,0.0
