candidate_id,condition,family,mesh_projection_max_m,mesh_projection_mean_m,missed_lower,missed_upper,path_length_m,path_step_m,quadrature,repeat_lower,repeat_upper,runtime_s,schedule_index,surface_id,surface_samples,uncertain_area_fraction
saddle/raster_u_phase_0.00,R,raster_u_phase_0.00,,,0.0,0.0,3.9044603466600454,0.001,Q0,0.01790113785870591,0.01790113785870591,2.0483673587441444,0,saddle,2304,0.0
saddle/raster_u_phase_0.00,R,raster_u_phase_0.00,,,0.0,0.0,3.9044603466600636,0.0005,Q0,0.01790113785870591,0.01790113785870591,3.81805083155632,1,saddle,2304,0.0
saddle/raster_u_phase_0.00,R,raster_u_phase_0.00,,,0.0,0.0,3.904460346660018,0.00025,Q0,0.01790113785870591,0.01790113785870591,7.2568057253956795,2,saddle,2304,0.0
saddle/raster_u_phase_0.00,R,raster_u_phase_0.00,,,0.02065577496749646,0.02065577496749646,3.904460346660018,0.00025,Q1,0.005358330993430312,0.005358330993430312,29.223265267908573,3,saddle,9216,0.0021340894596797006
saddle/raster_u_phase_0.00,R,raster_u_phase_0.00,,,0.026563811733936855,0.02667521936298122,3.904460346660018,0.00025,Q2,0.005928898169562132,0.005928898169562132,117.1625537648797,4,saddle,36864,0.0011502264360310549
saddle/raster_v_phase_0.00,R,raster_v_phase_0.00,,,0.0,0.0,3.9044603466600454,0.001,Q0,0.017901137858705906,0.017901137858705906,1.965552769601345,0,saddle,2304,0.0
saddle/raster_v_phase_0.00,R,raster_v_phase_0.00,,,0.0,0.0,3.9044603466600636,0.0005,Q0,0.017901137858705906,0.017901137858705906,3.8188344687223434,1,saddle,2304,0.0
saddle/raster_v_phase_0.00,R,raster_v_phase_0.00,,,0.0,0.0,3.904460346660018,0.00025,Q0,0.017901137858705906,0.017901137858705906,7.539630897343159,2,saddle,2304,0.0
saddle/raster_v_phase_0.00,R,raster_v_phase_0.00,,,0.02065577496749646,0.02065577496749646,3.904460346660018,0.00025,Q1,0.005358330993430312,0.005358330993430312,29.844048283994198,3,saddle,9216,0.0021340894596797
saddle/raster_v_phase_0.00,R,raster_v_phase_0.00,,,0.026563811733936855,0.02667521936298122,3.904460346660018,0.00025,Q2,0.005928898169562132,0.005928898169562132,118.06480327993631,4,saddle,36864,0.0011502264360310544
saddle/spiral_phase_0.00,R,spiral_phase_0.00,,,0.021120599400350513,0.021120599400350513,4.024337684022768,0.001,Q0,0.01693676088057446,0.01693676088057446,1.9151946008205414,0,saddle,2304,0.0
saddle/spiral_phase_0.00,R,spiral_phase_0.00,,,0.021120599400350513,0.021120599400350513,4.024337684022772,0.0005,Q0,0.01693676088057446,0.01693676088057446,3.8048111870884895,1,saddle,2304,0.0
saddle/spiral_phase_0.00,R,spiral_phase_0.00,,,0.021120599400350513,0.021120599400350513,4.024337684022766,0.00025,Q0,0.01693676088057446,0.01693676088057446,7.59850899875164,2,saddle,2304,0.0029587119507055353
saddle/spiral_phase_0.00,R,spiral_phase_0.00,,,0.04924996631596428,0.04924996631596428,4.024337684022766,0.00025,Q1,0.012772376216722843,0.012772376216722843,30.235501118004322,3,saddle,9216,0.0009649845685926406
saddle/spiral_phase_0.00,R,spiral_phase_0.00,,,0.038598542027659305,0.038598542027659305,4.024337684022766,0.00025,Q2,0.012258884020091041,0.012258884020091041,122.38818319886923,4,saddle,36864,0.0017115104461226825
saddle/raster_u_phase_0.00_k2,R,raster_u_phase_0.00_k2,,,0.0,0.0,3.8884542047816666,0.001,Q0,0.016581850529822285,0.016581850529822285,1.9170847833156586,0,saddle,2304,0.0
saddle/raster_u_phase_0.00_k2,R,raster_u_phase_0.00_k2,,,0.0,0.0,3.8884542047816844,0.0005,Q0,0.016581850529822285,0.016581850529822285,3.6504269018769264,1,saddle,2304,0.0
saddle/raster_u_phase_0.00_k2,R,raster_u_phase_0.00_k2,,,0.0,0.0,3.888454204781639,0.00025,Q0,0.016581850529822285,0.016581850529822285,7.193298399448395,2,saddle,2304,0.0
saddle/raster_u_phase_0.00_k2,R,raster_u_phase_0.00_k2,,,0.02065577496749646,0.02065577496749646,3.888454204781639,0.00025,Q1,0.004917805528558154,0.004917805528558154,28.364359386265278,3,saddle,9216,0.0021340894596797006
