B_joint,Delta_conf,Delta_joint,Delta_surface,E_NUC0,E_NUC1,E_NUC2,E_NUC3,E_miss0,E_miss1,E_miss2,E_miss3,E_rep0,E_rep1,E_rep2,E_rep3,F0_replay_error,F3_beats_F1,F3_beats_F2,F3_beats_both,J0,J1,J2,J3,LG0,LG1,LG2,LG3,anisotropy_level,cheap0,cheap1,cheap2,cheap3,kappa0,kappa1,kappa2,kappa3,margin0,margin1,margin2,margin3,optimized1,optimized2,optimized3,placement_id,sigma0,sigma1,sigma2,sigma3,surface0,surface1,surface2,surface3,surface_candidate2,surface_candidate3,surface_id,terminal1,terminal2,terminal3,window_id
-0.0003040642458862312,0.0,0.015404420856394195,0.015708485102280425,0.9976325449856752,0.9976325449856752,0.9983437696243531,0.9983437696243531,0.9955910297074412,0.9955910297074412,0.9955910297074412,0.9955910297074412,0.0020415152782340008,0.0020415152782340008,0.002752739916911924,0.002752739916911924,0.0,True,False,False,0.29116935690982326,0.29116935690982326,0.28659552740456473,0.2866840615954987,0.28420728315831045,0.28420728315831045,0.286387409989843,0.286387409989843,P_high,0.7932107308289864,0.7932107308289864,0.759372619218854,0.759372619218854,1.2600495568011159,1.2600495568011159,1.2600495568011172,1.2600495568011172,1.9045420999580989,1.9045420999580989,1.9040829318942007,1.9040829318942007,False,True,True,T33,0.5854500726421165,0.5854500726421165,0.5852253905611059,0.5852253905611059,0.047221554649235484,0.047221554649235484,0.04635585697723422,0.04635585697723422,19,19,hemisphere,0.0,0.0006982505841455211,0.0,hemisphere_P_high_W00
0.000169048509998221,0.0,0.023565396499736036,0.023396347989737814,0.9936080951159177,0.9936080951159177,0.9933301862079141,0.9933301862079141,0.992774368391907,0.992774368391907,0.992774368391907,0.992774368391907,0.0008337267240107142,0.0008337267240107142,0.0005558178160071428,0.0005558178160071428,0.0,True,True,True,0.265902742375673,0.265902742375673,0.25968158928362617,0.2596366388212231,0.24354685294965897,0.24354685294965897,0.234447182923956,0.234447182923956,P_high,0.7049940735230112,0.7049940735230112,0.7158703846931014,0.7158703846931014,2.6504265449042177,2.6504265449042177,2.651932384343027,2.651932384343027,2.237841272182615,2.237841272182615,2.2388154853617026,2.2388154853617026,False,True,True,T33,0.6793455756724938,0.6793455756724938,0.6793455756724937,0.6793455756724938,0.046695192286768585,0.046695192286768585,0.0465589192209716,0.0465589192209716,15,15,hemisphere,0.0,0.0003599869744370654,0.0,hemisphere_P_high_W01
-0.0009194480288859457,0.0,0.005811062081883685,0.006730510110769632,0.993128015974775,0.993128015974775,0.993128015974775,0.993128015974775,0.993128015974775,0.993128015974775,0.993128015974775,0.993128015974775,0.0,0.0,0.0,0.0,0.0,True,False,False,0.2728988483721846,0.2728988483721846,0.2710620999139982,0.27131301622221926,0.2640271771225736,0.2640271771225736,0.2669001776665213,0.2669001776665213,P_high,0.8355553707473823,0.8355553707473823,0.8305939640119675,0.8305939640119675,2.6457967632956567,2.6457967632956567,2.6420945086504877,2.6420945086504877,1.7761434563940621,1.7761434563940621,1.7761434563940615,1.7761434563940621,False,True,True,T33,0.6675831868573664,0.6675831868573664,0.6675831868573686,0.6675831868573664,0.046895279869245146,0.046895279869245146,0.04677590396525445,0.04677590396525445,13,13,hemisphere,0.0,0.00047039443785079627,0.0,hemisphere_P_high_W02
-0.00015209669867668864,0.0,0.02964234536468489,0.02979444206336158,0.9976325449856752,0.9976325449856752,0.9983437696243531,0.9983437696243531,0.9955910297074412,0.9955910297074412,0.9955910297074412,0.9955910297074412,0.002041515278234001,0.002041515278234001,0.002752739916911925,0.002752739916911925,0.0,True,False,False,0.5887069300569967,0.5887069300569967,0.5711667355371141,0.5712562759176638,0.48975787150076405,0.48975787150076405,0.4837511627670119,0.4837511627670119,P_high,0.18722025276218476,0.18722025276218476,0.21406758654545038,0.21406758654545038,1.1941734311397951,1.1941734311397951,1.1934319400065503,1.1934319400065503,1.6298695385162436,1.6298695385162436,1.6298513537918344,1.6298513537918344,False,True,True,T33,0.5743146232703965,0.5743146232703965,0.5727936005051435,0.5727936005051435,0.047221554649235456,0.047221554649235456,0.04635585697723418,0.04635585697723418,19,19,hemisphere,0.0,0.0007806915575030438,0.0,hemisphere_P_high_W03
0.0,0.0,0.0,0.0,0.99733418627566,0.99733418627566,0.99733418627566,0.99733418627566,0.99563947852366,0.99563947852366,0.99563947852366,0.99563947852366,0.0016947077520000245,0.0016947077520000245,0.0016947077520000245,0.0016947077520000245,0.0,False,False,False,0.6025900820350198,0.6025900820350198,0.6025900820350198,0.6025900820350198,0.523420236309807,0.523420236309807,0.523420236309807,0.523420236309807,P_high,0.38134911894219503,0.38134911894219503,0.38134911894219503,0.38134911894219503,1.2521510865084295,1.2521510865084295,1.2521510865084295,1.2521510865084295,1.592661923495375,1.592661923495375,1.592661923495375,1.592661923495375,False,False,False,T33,0.5914497740990833,0.5914497740990833,0.5914497740990833,0.5914497740990833,0.04852586982151049,0.04852586982151049,0.04852586982151049,0.04852586982151049,baseline,baseline,hemisphere,0.0,0.0,0.0,hemisphere_P_high_W04
-0.00045017551005488654,0.0,0.009159326498043128,0.009609502008098014,0.9936795512658346,0.9936795512658346,0.9936795512658346,0.9936795512658346,0.9936795512658346,0.9936795512658346,0.9936795512658346,0.9936795512658346,0.0,0.0,0.0,0.0,0.0,True,False,False,0.6074055984932829,0.6074055984932829,0.6015687331748317,0.6018421722999436,0.5585991315440578,0.5585991315440578,0.5541344886223868,0.5541344886223868,P_high,0.4723440033381975,0.4723440033381975,0.4800509225442367,0.4800509225442367,0.9600234533298246,0.9600234533298246,0.9477698754451531,0.9477698754451531,1.1393848495149372,1.1393848495149372,1.13938484951494,1.1393848495149372,False,True,True,T33,0.5581539558003847,0.5581539558003847,0.5581539558004268,0.5581539558003847,0.04746786887098048,0.04746786887098048,0.047423723272675175,0.047423723272675175,19,19,hemisphere,0.0,0.0010586805244310327,0.0,hemisphere_P_high_W05
2.3455530966918885e-05,0.0,0.021902937195045297,0.02187948166407838,0.9957755399829825,0.9957755399829825,0.996421685070506,0.996421685070506,0.995132645407887,0.995132645407887,0.9949719217641131,0.9949719217641131,0.000642894575095525,0.000642894575095525,0.0014497633063929143,0.0014497633063929143,0.0,True,True,True,0.593174070629981,0.593174070629981,0.5801957294280256,0.5801818162152431,0.5220113126311345,0.5220113126311345,0.5123097983012262,0.5123097983012262,P_high,0.5030996429720849,0.5030996429720849,0.5131522049898436,0.5131522049898436,0.43718279996058707,0.43718279996058707,0.45133066264452193,0.45133066264452193,1.0612649883959913,1.0612649883959913,1.0657447513705143,1.0657447513705143,False,True,True,T33,0.6216180198845163,0.6216180198845163,0.619496690887122,0.619496690887122,0.047178380016081614,0.047178380016081614,0.04685841368289275,0.04685841368289275,11,11,hemisphere,0.0,3.6212019458137235e-05,0.0,hemisphere_P_high_W06
-0.00023917956889108198,0.0,0.029244922375099798,0.029484101943990877,0.9968980253568458,0.9968980253568458,0.9971623324347392,0.9971623324347392,0.9955764899673795,0.9955764899673795,0.9958407970452728,0.9958407970452728,0.001321535389466336,0.001321535389466336,0.001321535389466336,0.001321535389466336,0.0,True,False,False,0.6926804940237851,0.6926804940237851,0.6722574317233738,0.6724231067453137,0.629691828373551,0.629691828373551,0.6076774488331446,0.6076774488331446,P_high,0.6270508309220932,0.6270508309220932,0.664657881432188,0.664657881432188,0.7041336162375511,0.7041336162375511,0.7338095371704412,0.7338095371704412,0.6523018970121672,0.6523018970121672,0.649567650183354,0.649567650183354,False,True,True,T33,0.4865908150140858,0.4865908150140858,0.4865908150141134,0.4865908150140858,0.049534456837117914,0.049534456837117914,0.048735642037022124,0.048735642037022124,11,11,hemisphere,0.0,0.0004976667041325378,0.0,hemisphere_P_high_W07
-0.00022716493244255483,0.0,0.009691349081062882,0.009918514013505436,0.9935848752759462,0.9935848752759462,0.9935848752759462,0.9935848752759462,0.9935848752759462,0.9935848752759462,0.9935848752759462,0.9935848752759462,0.0,0.0,0.0,0.0,0.0,True,False,False,0.5206880771722411,0.5206880771722411,0.515523625182143,0.5156419072540175,0.5025368490199765,0.5025368490199765,0.49677463949345185,0.49677463949345185,P_high,0.8191706083655662,0.8191706083655662,0.8127281054238898,0.8127281054238898,1.0204409239751744,1.0204409239751744,1.0204409239751773,1.0204409239751773,1.129741661014671,1.129741661014671,1.1297416610147786,1.129741661014671,False,True,True,T33,0.5191552533998949,0.5191552533998949,0.5191552534000226,0.5191552533998949,0.04800248872226006,0.04800248872226006,0.047496890310861684,0.047496890310861684,6,6,hemisphere,0.0,0.0002876315880455671,0.0,hemisphere_P_high_W08
0.00024577371343073383,0.0,0.022173743300446205,0.02192796958701547,0.9930728541052197,0.9930728541052197,0.9935517343624978,0.9935517343624978,0.9930728541052197,0.9930728541052197,0.9933910107187239,0.9933910107187239,0.0,0.0,0.00016072364377388144,0.00016072364377388144,0.0,True,True,True,0.4930397646360869,0.4930397646360869,0.4822284036719575,0.4821072274581339,0.46528743843304177,0.46528743843304177,0.4542259867295816,0.4542259867295816,P_high,0.7462814243447549,0.7462814243447549,0.7513785515385606,0.7513785515385606,1.3087982227879622,1.3087982227879622,1.2916736743051518,1.2916736743051518,1.4462787190325106,1.4462787190325106,1.4468935218751549,1.4468935218751549,False,True,True,T33,0.570393704982447,0.570393704982447,0.5703937049825467,0.570393704982447,0.04783016136060835,0.04783016136060835,0.04730270253413434,0.04730270253413434,15,15,hemisphere,0.0,0.00028020344349144466,0.0,hemisphere_P_high_W09
