E_NUC,E_miss,E_rep,J_q,admission_reasons,admitted,anisotropy_level,baseline_reconstruction_error,formulation,integrated_L_G_diagnostic,max_axis_error,max_position_error,mean_abs_alignment_cheap,mean_abs_alignment_expensive,median_log_kappa_R,min_joint_limit_margin,min_sigma_min_5,minimum_absolute_joint_margin_rad,optimized,placement_id,q_sample_count,solver,strict_pass,surface_candidate_id,surface_id,surface_length,terminal_q_mismatch,window_id
0.9983437696243531,0.9955910297074412,0.002752739916911924,0.28659552740456473,,True,P_high,,F2,0.286387409989843,6.878165529541868e-05,9.097897629912882e-06,0.759372619218854,0.4192558047215334,1.2600495568011172,0.1515219921643465,0.5852253905611059,1.9040829318942007,True,T33,25,single_warm_continuation_surface_bank,True,19,hemisphere,0.04635585697723422,0.0006982505841455211,hemisphere_P_high_W00
0.9933301862079141,0.992774368391907,0.0005558178160071428,0.25968158928362617,,True,P_high,,F2,0.234447182923956,1.2243858981112864e-05,7.350896719443323e-06,0.7158703846931014,0.6101387839383785,2.651932384343027,0.17815914251850593,0.6793455756724937,2.2388154853617026,True,T33,25,single_warm_continuation_surface_bank,True,15,hemisphere,0.0465589192209716,0.0003599869744370654,hemisphere_P_high_W01
0.993128015974775,0.993128015974775,0.0,0.2710620999139982,,True,P_high,,F2,0.2669001776665213,2.6942053552768886e-05,9.655916340301748e-06,0.8305939640119675,0.5336365468252794,2.6420945086504877,0.1938119613633635,0.6675831868573686,1.7761434563940615,True,T33,25,single_warm_continuation_surface_bank,True,13,hemisphere,0.04677590396525445,0.00047039443785079627,hemisphere_P_high_W02
0.9983437696243531,0.9955910297074412,0.002752739916911925,0.5711667355371141,,True,P_high,,F2,0.4837511627670119,0.00014338655669443267,1.3242477194468806e-05,0.21406758654545038,0.9512137752793913,1.1934319400065503,0.20126555676605828,0.5727936005051435,1.6298513537918344,True,T33,25,single_warm_continuation_surface_bank,True,19,hemisphere,0.04635585697723418,0.0007806915575030438,hemisphere_P_high_W03
0.99733418627566,0.99563947852366,0.0016947077520000245,0.6025900820350198,,True,P_high,0.0,F2,0.523420236309807,9.044938197334092e-05,9.715153346444574e-06,0.38134911894219503,0.9017432647563891,1.2521510865084295,0.19745104841445493,0.5914497740990833,1.592661923495375,False,T33,27,single_warm_continuation_surface_bank,,baseline,hemisphere,0.04852586982151049,0.0,hemisphere_P_high_W04
0.9936795512658346,0.9936795512658346,0.0,0.6015687331748317,,True,P_high,,F2,0.5541344886223868,0.00011581463461457449,2.548827723348586e-05,0.4800509225442367,0.8380556521067123,0.9477698754451531,0.1813440791842973,0.5581539558004268,1.13938484951494,True,T33,26,single_warm_continuation_surface_bank,True,19,hemisphere,0.047423723272675175,0.0010586805244310327,hemisphere_P_high_W05
0.996421685070506,0.9949719217641131,0.0014497633063929143,0.5801957294280256,,True,P_high,,F2,0.5123097983012262,0.000220862454062336,2.529662578954083e-05,0.5131522049898436,0.680776364939353,0.45133066264452193,0.16962354788644185,0.619496690887122,1.0657447513705143,True,T33,26,single_warm_continuation_surface_bank,True,11,hemisphere,0.04685841368289275,3.6212019458137235e-05,hemisphere_P_high_W06
0.9971623324347392,0.9958407970452728,0.001321535389466336,0.6722574317233738,,True,P_high,,F2,0.6076774488331446,0.000193088652520417,3.224609051511308e-05,0.664657881432188,0.7390110713957295,0.7338095371704412,0.10338495148549323,0.4865908150141134,0.649567650183354,True,T33,27,single_warm_continuation_surface_bank,True,11,hemisphere,0.048735642037022124,0.0004976667041325378,hemisphere_P_high_W07
0.9935848752759462,0.9935848752759462,0.0,0.515523625182143,,True,P_high,,F2,0.49677463949345185,0.0001508314336783668,3.139729321438423e-05,0.8127281054238898,0.43170342956470054,1.0204409239751773,0.1481927973461827,0.5191552534000226,1.1297416610147786,True,T33,27,single_warm_continuation_surface_bank,True,6,hemisphere,0.047496890310861684,0.0002876315880455671,hemisphere_P_high_W08
0.9935517343624978,0.9933910107187239,0.00016072364377388144,0.4822284036719575,,True,P_high,,F2,0.4542259867295816,9.781186342622913e-05,1.9559972052276704e-05,0.7513785515385606,0.543073367570874,1.2916736743051518,0.1503318362510877,0.5703937049825467,1.4468935218751549,True,T33,27,single_warm_continuation_surface_bank,True,15,hemisphere,0.04730270253413434,0.00028020344349144466,hemisphere_P_high_W09
0.9983437696243531,0.9955910297074412,0.002752739916911924,0.254774939678287,,True,P_low,,F2,0.2544805347827652,5.2466322012385115e-05,5.983194914239267e-06,0.4338315202491389,0.8915960776641705,0.409186307706843,0.25639802595811884,1.0584537129362246,2.184009034808481,True,T30,25,single_warm_continuation_surface_bank,True,19,hemisphere,0.046355856977234225,0.0007048047555993087,hemisphere_P_low_W00
0.9933301862079141,0.992774368391907,0.0005558178160071428,0.2975442316375615,,True,P_low,,F2,0.27298751443513775,1.4399140949214814e-05,7.818977734015021e-06,0.5365816837233484,0.7728744221208702,1.9158515433718541,0.2640725927048137,1.0602556225631854,1.9510578172051254,True,T30,25,single_warm_continuation_surface_bank,True,15,hemisphere,0.04655891922097162,0.00035982291506342357,hemisphere_P_low_W01
0.993128015974775,0.993128015974775,0.0,0.3215924157969966,,True,P_low,,F2,0.31241873702298456,2.9758185994575805e-05,8.578441195270088e-06,0.6108830196592251,0.7769455510876625,1.4184182290963716,0.23632579067288417,0.8708518563601819,1.4848349427977314,True,T30,25,single_warm_continuation_surface_bank,True,13,hemisphere,0.04677590396525452,0.0004707070976379679,hemisphere_P_low_W02
0.9976325449856752,0.9955910297074412,0.002041515278234001,0.4948402952914511,,True,P_low,0.0,F2,0.33054387392979523,0.0001417225941200417,1.1019198514626467e-05,0.8016576225920236,0.35186755598791236,0.48419698883009765,0.21207609160999355,0.7176204276157885,1.3324740835855895,False,T30,25,single_warm_continuation_surface_bank,,baseline,hemisphere,0.047221554649235595,0.0,hemisphere_P_low_W03
0.9975576450560524,0.9954182614061774,0.0021393836498749723,0.47025454009612194,,True,P_low,,F2,0.33677075016282426,0.0001556719554582214,1.1123268559963906e-05,0.8769408863499895,0.35090540464950737,0.39583575588327424,0.20798437940106268,0.7769589545564988,1.3067658557768769,True,T30,27,single_warm_continuation_surface_bank,True,5,hemisphere,0.048096404079574814,0.0009645820901948432,hemisphere_P_low_W04
0.9938402749096086,0.9938402749096086,0.0,0.4400845669810674,,True,P_low,,F2,0.35908253972923915,0.0001361934554428616,2.0064391352417598e-05,0.8614358315829745,0.25899408534956014,0.49686095805104513,0.14794511100496785,0.6977379621560975,0.929539132444213,True,T30,26,single_warm_continuation_surface_bank,True,13,hemisphere,0.047112546601398485,0.0007660494697786513,hemisphere_P_low_W05
0.9956148163392086,0.9949719217641131,0.000642894575095525,0.4989179295583341,,True,P_low,,F2,0.4306610971615404,0.00018442878588970736,2.538439716768933e-05,0.6406366187367856,0.7079669865969059,0.8395370239425393,0.14395892761639764,0.7706963865234894,0.9044939422138265,True,T30,26,single_warm_continuation_surface_bank,True,19,hemisphere,0.047335703725802106,0.0005264973307336218,hemisphere_P_low_W06
0.9971623324347392,0.9958407970452728,0.001321535389466336,0.7152660445190187,,True,P_low,,F2,0.6695887515955828,0.0001333043531489825,3.352345985404213e-05,0.5186215729077795,0.8482062928105667,1.054680433047111,0.09014623546460883,0.5269783548150924,0.5663887974241373,True,T30,27,single_warm_continuation_surface_bank,True,11,hemisphere,0.0487356420370221,0.0005616655890190447,hemisphere_P_low_W07
0.9935848752759462,0.9935848752759462,0.0,0.426597606470512,,True,P_low,,F2,0.3866158808353661,0.00013209948744813334,2.8487612621929165e-05,0.8086573541561481,0.49743276892567095,0.2662115163347505,0.18415389465435678,0.65139131379986,1.1570389201133238,True,T30,27,single_warm_continuation_surface_bank,True,6,hemisphere,0.04749689031086168,0.00029310971190410484,hemisphere_P_low_W08
0.9935517343624978,0.9933910107187239,0.00016072364377388144,0.3595117908953115,,True,P_low,,F2,0.3251801503140831,0.00012620519546046235,1.2029034478085215e-05,0.7170374343719453,0.6501199640684187,0.37091938137290165,0.23078826851369807,0.8942243058014001,1.4500426910715651,True,T30,27,single_warm_continuation_surface_bank,True,15,hemisphere,0.04730270253413433,0.0002408040695804914,hemisphere_P_low_W09
0.9976325449856752,0.9955910297074412,0.0020415152782340008,0.24699041358860452,,True,P_mid,,F2,0.24890276701241804,2.5503327589155956e-05,4.347131533102083e-06,0.8043817614318236,0.4375593164850459,0.9102280272108441,0.3477712593252348,0.7510606252204821,2.1850468223404502,True,T27,25,single_warm_continuation_surface_bank,True,12,hemisphere,0.04667339553110376,0.0005429019287704895,hemisphere_P_mid_W00
0.9933301862079141,0.992774368391907,0.0005558178160071428,0.27036456922926666,,True,P_mid,,F2,0.24381719341924576,1.5188706166259691e-05,5.60890761927176e-06,0.7145945587429109,0.6124208983155646,2.4322889564745447,0.3256751526604651,0.6676775562363698,2.086808002919467,True,T27,25,single_warm_continuation_surface_bank,True,15,hemisphere,0.04655891922097186,0.0003584667121152574,hemisphere_P_mid_W01
0.993128015974775,0.993128015974775,0.0,0.3227747600463473,,True,P_mid,,F2,0.3234961486621784,4.216957271018607e-05,8.208551361672093e-06,0.8932312007975659,0.41366081060333915,2.7748214710524484,0.2551505726627932,0.37195656667852084,1.6031110480403294,True,T27,25,single_warm_continuation_surface_bank,True,13,hemisphere,0.046775903965254544,0.0004703835968012937,hemisphere_P_mid_W02
0.9976325449856752,0.9955910297074412,0.002041515278234001,1.154634484423539,,True,P_mid,0.0,F2,0.8455926853651864,0.00025569333987926333,4.769559780607324e-05,0.37278800351867347,0.9052863195495472,2.131263054350783,0.2216168531049809,0.3172386405219124,1.392418688058595,False,T27,25,single_warm_continuation_surface_bank,,baseline,hemisphere,0.04722155464923569,0.0,hemisphere_P_mid_W03
