E_NUC,E_miss,E_rep,J_q,admission_reasons,admitted,anisotropy_level,baseline_reconstruction_error,formulation,integrated_L_G_diagnostic,max_axis_error,max_position_error,mean_abs_alignment_cheap,mean_abs_alignment_expensive,median_log_kappa_R,min_joint_limit_margin,min_sigma_min_5,minimum_absolute_joint_margin_rad,optimized,placement_id,q_sample_count,solver,surface_candidate_id,surface_id,surface_length,terminal_q_mismatch,window_id
0.9976325449856752,0.9955910297074412,0.0020415152782340008,0.29116935690982326,,True,P_high,0.0,F0,0.28420728315831045,5.636251305250572e-05,9.097897630020152e-06,0.7932107308289864,0.3636468954600745,1.2600495568011159,0.1515585315705954,0.5854500726421165,1.9045420999580989,False,T33,25,fixed_archived_witness,baseline,hemisphere,0.047221554649235484,0.0,hemisphere_P_high_W00
0.9936080951159177,0.992774368391907,0.0008337267240107142,0.265902742375673,,True,P_high,0.0,F0,0.24354685294965897,8.468685319125651e-06,5.582545655601048e-06,0.7049940735230112,0.6524608002589908,2.6504265449042177,0.17815914251850593,0.6793455756724938,2.237841272182615,False,T33,25,fixed_archived_witness,baseline,hemisphere,0.046695192286768585,0.0,hemisphere_P_high_W01
0.993128015974775,0.993128015974775,0.0,0.2728988483721846,,True,P_high,0.0,F0,0.2640271771225736,1.9793695408666034e-05,8.072459705291632e-06,0.8355553707473823,0.5214462650993645,2.6457967632956567,0.1938119613633635,0.6675831868573664,1.7761434563940621,False,T33,25,fixed_archived_witness,baseline,hemisphere,0.046895279869245146,0.0,hemisphere_P_high_W02
0.9976325449856752,0.9955910297074412,0.002041515278234001,0.5887069300569967,,True,P_high,0.0,F0,0.48975787150076405,9.792099982188503e-05,9.70791638462066e-06,0.18722025276218476,0.9378550197421134,1.1941734311397951,0.2012667893489455,0.5743146232703965,1.6298695385162436,False,T33,25,fixed_archived_witness,baseline,hemisphere,0.047221554649235456,0.0,hemisphere_P_high_W03
0.99733418627566,0.99563947852366,0.0016947077520000245,0.6025900820350198,,True,P_high,0.0,F0,0.523420236309807,9.044938197334092e-05,9.715153346444574e-06,0.38134911894219503,0.9017432647563891,1.2521510865084295,0.19745104841445493,0.5914497740990833,1.592661923495375,False,T33,27,fixed_archived_witness,baseline,hemisphere,0.04852586982151049,0.0,hemisphere_P_high_W04
0.9936795512658346,0.9936795512658346,0.0,0.6074055984932829,,True,P_high,0.0,F0,0.5585991315440578,0.00011581463653181582,2.1160719147776926e-05,0.4723440033381975,0.850652273489715,0.9600234533298246,0.18134407918429685,0.5581539558003847,1.1393848495149372,False,T33,26,fixed_archived_witness,baseline,hemisphere,0.04746786887098048,0.0,hemisphere_P_high_W05
0.9957755399829825,0.995132645407887,0.000642894575095525,0.593174070629981,,True,P_high,0.0,F0,0.5220113126311345,0.0001239491720050978,1.927852778888485e-05,0.5030996429720849,0.7167896569103746,0.43718279996058707,0.16891055043705097,0.6216180198845163,1.0612649883959913,False,T33,26,fixed_archived_witness,baseline,hemisphere,0.047178380016081614,0.0,hemisphere_P_high_W06
0.9968980253568458,0.9955764899673795,0.001321535389466336,0.6926804940237851,,True,P_high,0.0,F0,0.629691828373551,0.00015378029844430405,2.348198897910215e-05,0.6270508309220932,0.7787930455807729,0.7041336162375511,0.1038201332185528,0.4865908150140858,0.6523018970121672,False,T33,27,fixed_archived_witness,baseline,hemisphere,0.049534456837117914,0.0,hemisphere_P_high_W07
0.9935848752759462,0.9935848752759462,0.0,0.5206880771722411,,True,P_high,0.0,F0,0.5025368490199765,0.0001508314336783668,3.139729327500827e-05,0.8191706083655662,0.4188983478006917,1.0204409239751744,0.14819279734617788,0.5191552533998949,1.129741661014671,False,T33,27,fixed_archived_witness,baseline,hemisphere,0.04800248872226006,0.0,hemisphere_P_high_W08
0.9930728541052197,0.9930728541052197,0.0,0.4930397646360869,,True,P_high,0.0,F0,0.46528743843304177,9.781185548081104e-05,1.4451908745236428e-05,0.7462814243447549,0.5373145054406518,1.3087982227879622,0.15033183625108487,0.570393704982447,1.4462787190325106,False,T33,27,fixed_archived_witness,baseline,hemisphere,0.04783016136060835,0.0,hemisphere_P_high_W09
