A_R,A_window,C_q0,C_qE,C_qR,Delta_E,Delta_R,E_NUC0,E_NUCE,E_NUCR,E_miss0,E_missE,E_missR,E_rep0,E_repE,E_repR,L_G0,L_GE,L_GR,L_q0,L_qE,L_qR,L_surface0,L_surfaceE,L_surfaceR,M2_wins,accepted_E,accepted_R,anisotropy_level,baseline_reconstruction_error,joint_margin0,joint_marginE,joint_marginR,placement_id,sigma0,sigmaE,sigmaR,surface_change_E,surface_change_R,surface_id,terminal_E,terminal_R,window_id
-0.002387303343321094,1.2600495997440384,6.166026490924463,6.2530618831239355,6.166026490924463,0.002387303343321094,0.0,0.9976325449856752,0.9976325449856752,0.9976325449856752,0.9955910297074412,0.9955910297074412,0.9955910297074412,0.0020415152782340008,0.0020415152782340008,0.0020415152782340008,0.2814820548830441,0.28337784439758323,0.2814820548830441,0.29116935690982326,0.2904742473305998,0.29116935690982326,0.047221554649235484,0.04645312212798432,0.047221554649235484,False,5,0,P_high,0.0,0.1515585315705954,0.1515585315705954,0.1515585315705954,T33,0.5854500726421165,0.5854640814570857,0.5854500726421165,0.016272918732962716,0.0,hemisphere,1.5116034582929316e-05,0.0,hemisphere_P_high_W00
0.03570450652078287,2.646570074698261,5.6944351089227325,5.807947961333564,5.603986607090983,-0.004276669094237722,0.03142783742654515,0.9936080951159177,0.9936080951159177,0.9936080951159177,0.992774368391907,0.992774368391907,0.992774368391907,0.0008337267240107142,0.0008337267240107142,0.0008337267240107142,0.24039411758271537,0.24217454603787994,0.23193629520741088,0.265902742375673,0.2670399204160641,0.25754599421701785,0.046695192286768585,0.04597835968811763,0.04595763913695529,True,4,5,P_high,0.0,0.17815914251850593,0.17815914251850587,0.178159142518506,T33,0.6793455756724938,0.6793455756724969,0.6793455756724912,0.015351314847333338,0.015795055415636153,hemisphere,0.00041712563656082224,0.00039506232173835976,hemisphere_P_high_W01
0.0002656324913575363,2.6370000560350975,5.819324442312521,5.789232428666587,5.784271498923824,0.009061888557681112,0.009327521049038648,0.993128015974775,0.993128015974775,0.993128015974775,0.993128015974775,0.993128015974775,0.993128015974775,0.0,0.0,0.0,0.25942931641678985,0.2579516364534406,0.2578810255002802,0.2728988483721846,0.27042586942071634,0.27035337861973463,0.046895279869245146,0.04671186944950534,0.04673939988294713,True,8,8,P_high,0.0,0.1938119613633635,0.1938119613633635,0.1938119613633635,T33,0.6675831868573664,0.6675831868573688,0.6675831868573687,0.003911063549491502,0.0033240016209017727,hemisphere,0.0006911010775894066,0.0008941304277443329,hemisphere_P_high_W02
0.006118300519339127,1.194174524939791,12.466911232168172,12.269656495823073,12.136610570121904,0.034665888689470584,0.04078418920880971,0.9976325449856752,0.9976325449856752,0.9976325449856752,0.9955910297074412,0.9955910297074412,0.9955910297074412,0.002041515278234001,0.002041515278234001,0.002041515278234001,0.49283653455851634,0.4774388607608254,0.4750529636685995,0.5887069300569967,0.5682988811489209,0.5646969952330146,0.047221554649235456,0.04631742391014658,0.04652839373648475,True,4,3,P_high,0.0,0.2012667893489455,0.2012539738485194,0.20125397386206761,T33,0.5743146232703965,0.5742704169423083,0.5741375994319723,0.01914656867620759,0.014678909195166222,hemisphere,0.00015605716775612954,0.0002671350164238362,hemisphere_P_high_W03
0.0,1.2521510865084295,12.417914078644797,12.417914078644797,12.417914078644797,0.0,0.0,0.99733418627566,0.99733418627566,0.99733418627566,0.99563947852366,0.99563947852366,0.99563947852366,0.0016947077520000245,0.0016947077520000245,0.0016947077520000245,0.521186059492949,0.521186059492949,0.521186059492949,0.6025900820350198,0.6025900820350198,0.6025900820350198,0.04852586982151049,0.04852586982151049,0.04852586982151049,False,0,0,P_high,0.0,0.19745104841445493,0.19745104841445493,0.19745104841445493,T33,0.5914497740990833,0.5914497740990833,0.5914497740990833,0.0,0.0,hemisphere,0.0,0.0,hemisphere_P_high_W04
-1.1231747939334166e-05,0.9600234533298246,12.796142168173487,12.772551938746838,12.769231359983248,0.015367298850366152,0.015356067102426818,0.9936795512658346,0.9938402749096086,0.9938402749096086,0.9936795512658346,0.9938402749096086,0.9938402749096086,0.0,0.0,0.0,0.5584041022616645,0.5497081238800416,0.549743488243517,0.6074055984932829,0.5980714151378511,0.5980782373644303,0.04746786887098048,0.046824739332125206,0.04683745015684444,False,5,3,P_high,0.0,0.18134407918429685,0.18134407918429665,0.1813440791842965,T33,0.5581539558003847,0.5581539558003602,0.5581539558003303,0.013548734210152204,0.013280956763606522,hemisphere,0.00029691901597184156,0.00018836577185288306,hemisphere_P_high_W05
6.530168866197492e-05,0.43718279996058707,12.573006331031008,12.521791577974545,12.520543174808969,0.023863586183320042,0.023928887871982017,0.9957755399829825,0.9957755399829825,0.9957755399829825,0.995132645407887,0.995132645407887,0.995132645407887,0.000642894575095525,0.000642894575095525,0.000642894575095525,0.5233017702279027,0.5117975882216063,0.5117808640712667,0.593174070629981,0.5790188100737916,0.578980074805309,0.047178380016081614,0.046240891845881565,0.04624240871356148,True,2,1,P_high,0.0,0.16891055043705097,0.16891055037107294,0.16891055043705097,T33,0.6216180198845163,0.6213503024368494,0.6213503024368494,0.01987113948975121,0.019838987735507064,hemisphere,9.22005061338993e-05,0.0001314134312524473,hemisphere_P_high_W06
0.018714046794036765,0.7041336162375511,13.983811234702692,14.219009155154614,13.857907857947147,-0.00026204249393279666,0.018452004300103967,0.9968980253568458,0.9971623324347392,0.9968980253568458,0.9955764899673795,0.9958407970452728,0.9955764899673795,0.001321535389466336,0.001321535389466336,0.001321535389466336,0.6305659402634868,0.6357683707219841,0.6162590625616047,0.6926804940237851,0.6928620057479377,0.67989915056946,0.049534456837117914,0.0487278683196265,0.04906217861591248,True,9,3,P_high,0.0,0.1038201332185528,0.10383289105392374,0.10354915795537034,T33,0.4865908150140858,0.4865908150141178,0.48659081501407064,0.01628338269951533,0.009534337335289822,hemisphere,0.0002554208051877005,6.980821263047332e-05,hemisphere_P_high_W07
0.0054064316099640825,1.0193021172495527,10.84710586955013,10.732974542252082,10.657554123898937,0.03018776842463726,0.03559420003460134,0.9935848752759462,0.99374559891972,0.9935848752759462,0.9935848752759462,0.9935848752759462,0.9935848752759462,0.0,0.0001607236437738811,0.0,0.49539561318855957,0.482840193710217,0.48000714848647685,0.5206880771722411,0.5049696660770958,0.5021546015977404,0.04800248872226006,0.047048436022018074,0.04711724620489501,True,6,5,P_high,0.0,0.14819279734617788,0.1481927973461887,0.14819279734618843,T33,0.5191552533998949,0.5191552534001841,0.5191552534001752,0.01987506743165102,0.01844159627820582,hemisphere,0.0017153150007529483,0.0014317943023138824,hemisphere_P_high_W08
0.0004578826660095077,1.298018174356135,10.308135089047417,10.172348038010039,10.1475173590853,0.02976300945092285,0.03022089211693236,0.9930728541052197,0.9935517343624978,0.9935517343624978,0.9930728541052197,0.9933910107187239,0.9933910107187239,0.0,0.00016072364377388144,0.00016072364377388144,0.4718077051090535,0.45933446220807284,0.45870573773900947,0.4930397646360869,0.47836541746154226,0.478139663099662,0.04783016136060835,0.04702605688225373,0.047118881020841295,True,10,10,P_high,0.0,0.15033183625108487,0.1503318362510863,0.1503318362510877,T33,0.570393704982447,0.5703937049824965,0.570393704982545,0.016811661417827847,0.014870958398079918,hemisphere,0.001239700513459674,0.0012807337761904236,hemisphere_P_high_W09
