actual_Lq_reduction,method,predicted_LG_reduction,window_id
0.002387303343321094,M1,-0.006735027976567869,hemisphere_P_high_W00
0.0,M2,0.0,hemisphere_P_high_W00
-0.004276669094237722,M1,-0.007406289609195447,hemisphere_P_high_W01
0.03142783742654515,M2,0.03518315032144786,hemisphere_P_high_W01
0.009061888557681112,M1,0.005695886585829242,hemisphere_P_high_W02
0.009327521049038648,M2,0.0059680645884377425,hemisphere_P_high_W02
0.034665888689470584,M1,0.031242963372194336,hemisphere_P_high_W03
0.04078418920880971,M2,0.03608411642178148,hemisphere_P_high_W03
0.0,M1,0.0,hemisphere_P_high_W04
0.0,M2,0.0,hemisphere_P_high_W04
0.015367298850366152,M1,0.015572912781983753,hemisphere_P_high_W05
0.015356067102426818,M2,0.015509581650761464,hemisphere_P_high_W05
0.023863586183320042,M1,0.021983839269808434,hemisphere_P_high_W06
0.023928887871982017,M2,0.022015798172474316,hemisphere_P_high_W06
-0.00026204249393279666,M1,-0.008250414629631686,hemisphere_P_high_W07
0.018452004300103967,M2,0.022688947798074642,hemisphere_P_high_W07
0.03018776842463726,M1,0.025344228216981905,hemisphere_P_high_W08
0.03559420003460134,M2,0.03106298136763172,hemisphere_P_high_W08
0.02976300945092285,M1,0.026437132683319813,hemisphere_P_high_W09
0.03022089211693236,M2,0.02776971895152848,hemisphere_P_high_W09
0.022619550186228566,M1,0.018560754973146975,hemisphere_P_low_W00
0.021252490645418984,M2,0.019074139517564925,hemisphere_P_low_W00
0.010217035066399476,M1,0.008923024606405669,hemisphere_P_low_W01
0.02372709756193951,M2,0.027144606936311714,hemisphere_P_low_W01
0.005675627270444757,M1,0.0035619784939744325,hemisphere_P_low_W02
0.005977635712772123,M2,0.003881239806796722,hemisphere_P_low_W02
0.0,M1,0.0,hemisphere_P_low_W03
0.0,M2,0.0,hemisphere_P_low_W03
0.014564118146031082,M1,0.017037437309226897,hemisphere_P_low_W04
0.014748411056105045,M2,0.01715151916177669,hemisphere_P_low_W04
0.01412998666877936,M1,0.012867260972529626,hemisphere_P_low_W05
0.014780770191490315,M2,0.013231269733217298,hemisphere_P_low_W05
0.02220830919443869,M1,0.01931274209990807,hemisphere_P_low_W06
0.02230914811615348,M2,0.019354107015957665,hemisphere_P_low_W06
0.0003934468615117165,M1,-0.005100651341007478,hemisphere_P_low_W07
0.01948067624979578,M2,0.021923881166039282,hemisphere_P_low_W07
0.02252335790421204,M1,0.019235794562983497,hemisphere_P_low_W08
0.022596431685803293,M2,0.01928655140401406,hemisphere_P_low_W08
0.019727429655382253,M1,0.017142834548356356,hemisphere_P_low_W09
0.019721547773673815,M2,0.01710662155495035,hemisphere_P_low_W09
0.012137513290384497,M1,0.015057751582614612,hemisphere_P_mid_W00
0.0,M2,0.0,hemisphere_P_mid_W00
-0.005701502957849413,M1,-0.007196630586159637,hemisphere_P_mid_W01
0.007659732463588615,M2,0.009807770214507726,hemisphere_P_mid_W01
0.02224103789486807,M1,0.010554011671678586,hemisphere_P_mid_W02
0.022055398457212962,M2,0.011066684636532558,hemisphere_P_mid_W02
0.0,M1,0.0,hemisphere_P_mid_W03
0.0,M2,0.0,hemisphere_P_mid_W03
0.0,M1,0.0,hemisphere_P_mid_W04
0.0,M2,0.0,hemisphere_P_mid_W04
0.013539118220073204,M1,0.013192111756412129,hemisphere_P_mid_W05
0.013765604356477551,M2,0.013258601692020037,hemisphere_P_mid_W05
0.008675210158420377,M1,0.008347017415661297,hemisphere_P_mid_W06
0.009250857176803337,M2,0.008919681822832785,hemisphere_P_mid_W06
0.0,M1,0.0,hemisphere_P_mid_W07
0.0,M2,0.0,hemisphere_P_mid_W07
0.020331912448590943,M1,0.020602474757005062,hemisphere_P_mid_W08
0.022769442166594923,M2,0.02283214288325974,hemisphere_P_mid_W08
0.02865229927636507,M1,0.036783390660589645,hemisphere_P_mid_W09
0.02720619538834316,M2,0.038317403342326056,hemisphere_P_mid_W09
0.04224436741856032,M1,0.028218287253178816,saddle_P_high_W00
0.04224436741856032,M2,0.028218287253178816,saddle_P_high_W00
0.004947300554332777,M1,0.006779778138705013,saddle_P_high_W01
0.0049221859371674235,M2,0.006774373233287711,saddle_P_high_W01
0.0,M1,0.0,saddle_P_high_W02
0.0,M2,0.0,saddle_P_high_W02
0.01665325613998514,M1,0.015969400874830723,saddle_P_high_W03
0.03847800536924747,M2,0.0454571020344894,saddle_P_high_W03
0.020576086048733722,M1,0.023387450336900723,saddle_P_high_W04
0.02062423648961177,M2,0.02360743779850316,saddle_P_high_W04
0.024721080615866628,M1,0.024329155364932235,saddle_P_high_W05
0.02950388847496678,M2,0.030179588543144245,saddle_P_high_W05
0.06748815147017483,M1,0.07557223571214176,saddle_P_high_W06
0.06768488204062659,M2,0.07562156014401596,saddle_P_high_W06
0.0417687818603245,M1,0.054092714020091595,saddle_P_high_W07
0.03864612915440236,M2,0.054505099079036265,saddle_P_high_W07
0.02455810135479989,M1,0.027954285290735046,saddle_P_high_W08
0.02455810135479989,M2,0.027954285290735046,saddle_P_high_W08
0.032916218466268014,M1,0.03709544412817618,saddle_P_high_W09
0.03283400277360466,M2,0.03701188003178353,saddle_P_high_W09
0.010799518590100397,M1,0.015986385146357217,saddle_P_low_W00
0.010799518590100397,M2,0.015986385146357217,saddle_P_low_W00
0.006448356419042825,M1,0.006420474758901938,saddle_P_low_W01
0.006462747843381289,M2,0.0064374492488094,saddle_P_low_W01
0.006424577041898592,M1,0.007054047622412873,saddle_P_low_W02
0.006424577041898592,M2,0.007054047622412873,saddle_P_low_W02
0.017326782971212686,M1,0.014820535071977404,saddle_P_low_W03
0.019241091221285544,M2,0.020054917823864288,saddle_P_low_W03
0.015656186977156948,M1,0.017846097930884677,saddle_P_low_W04
0.015701144975470833,M2,0.01792798987276268,saddle_P_low_W04
0.016129429238966115,M1,0.017029300792436315,saddle_P_low_W05
0.016129429238966115,M2,0.017029300792436315,saddle_P_low_W05
0.02117450620073847,M1,0.03133932283712885,saddle_P_low_W06
0.02117450620073847,M2,0.03133932283712885,saddle_P_low_W06
0.014617825938522311,M1,0.009672366468287284,saddle_P_low_W07
0.006011528988445529,M2,0.009030131908646554,saddle_P_low_W07
0.028964348646317674,M1,0.03216744268683086,saddle_P_low_W08
0.02759527159630653,M2,0.030640184928141155,saddle_P_low_W08
0.012964665892192124,M1,0.015913453136145287,saddle_P_low_W09
0.01385654559046467,M2,0.017300838352450196,saddle_P_low_W09
-0.0003265808485285946,M1,-0.012672855652961421,saddle_P_mid_W00
0.045785639687004796,M2,0.01936940854010687,saddle_P_mid_W00
0.007200798958644621,M1,0.009195412440916604,saddle_P_mid_W01
0.007200798958644621,M2,0.009195412440916604,saddle_P_mid_W01
0.008099050291839615,M1,0.010428695877670167,saddle_P_mid_W02
0.008146623243037951,M2,0.010474556645229751,saddle_P_mid_W02
0.015197833297086832,M1,0.015165892442233889,saddle_P_mid_W03
0.03052775712963214,M2,0.035633689959581154,saddle_P_mid_W03
0.02865554811712366,M1,0.03448216228993979,saddle_P_mid_W04
0.028519258885974546,M2,0.03451441590184495,saddle_P_mid_W04
0.0211913945777489,M1,0.02067757967511697,saddle_P_mid_W05
0.02395173974384256,M2,0.0237018290037459,saddle_P_mid_W05
0.027904786489504754,M1,0.025017820220994025,saddle_P_mid_W06
0.027937727770706,M2,0.0250719247857825,saddle_P_mid_W06
0.02334358139007162,M1,0.01811894920845357,saddle_P_mid_W07
0.03105745435289857,M2,0.03482466341084784,saddle_P_mid_W07
0.031065803664091497,M1,0.04561100829899455,saddle_P_mid_W08
0.031065803664091497,M2,0.04561100829899455,saddle_P_mid_W08
0.015638711888209297,M1,0.013403365210640054,saddle_P_mid_W09
0.015048944160486216,M2,0.012642553999563697,saddle_P_mid_W09
